"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율"
"경상남도 경상남도 창원시 진해구 (4812900000)","192,755","81,838","          2.36","98,736","94,019","          1.05","194,949","84,766","          2.30","100,077","94,872","          1.05","193,994","85,866","          2.26","99,711","94,283","          1.06"
"경상남도 창원시 진해구 충무동(4812953000)","17,355","7,753","          2.24","8,989","8,366","          1.07","16,962","7,793","          2.18","8,811","8,151","          1.08","16,454","7,736","          2.13","8,548","7,906","          1.08"
"경상남도 창원시 진해구 여좌동(4812954000)","8,754","4,359","          2.01","4,335","4,419","          0.98","8,469","4,362","          1.94","4,183","4,286","          0.98","8,340","4,359","          1.91","4,129","4,211","          0.98"
"경상남도 창원시 진해구 태백동(4812955000)","5,040","2,638","          1.91","2,541","2,499","          1.02","4,130","2,188","          1.89","2,079","2,051","          1.01","3,726","1,956","          1.90","1,871","1,855","          1.01"
"경상남도 창원시 진해구 경화동(4812956000)","11,402","4,637","          2.46","5,771","5,631","          1.02","11,097","4,624","          2.40","5,621","5,476","          1.03","10,928","4,644","          2.35","5,524","5,404","          1.02"
"경상남도 창원시 진해구 병암동(4812957000)","7,545","3,349","          2.25","3,740","3,805","          0.98","7,431","3,403","          2.18","3,666","3,765","          0.97","7,301","3,416","          2.14","3,590","3,711","          0.97"
"경상남도 창원시 진해구 석동(4812958000)","17,463","6,910","          2.53","8,930","8,533","          1.05","17,555","7,136","          2.46","9,013","8,542","          1.06","17,475","7,328","          2.38","9,013","8,462","          1.07"
"경상남도 창원시 진해구 이동(4812959000)","8,576","4,568","          1.88","4,546","4,030","          1.13","8,583","4,729","          1.81","4,541","4,042","          1.12","8,501","4,776","          1.78","4,504","3,997","          1.13"
"경상남도 창원시 진해구 자은동(4812960000)","21,460","8,728","          2.46","10,701","10,759","          0.99","21,235","8,849","          2.40","10,590","10,645","          0.99","20,931","8,879","          2.36","10,428","10,503","          0.99"
"경상남도 창원시 진해구 덕산동(4812961000)","10,224","4,139","          2.47","5,018","5,206","          0.96","10,154","4,204","          2.42","5,004","5,150","          0.97","9,922","4,188","          2.37","4,883","5,039","          0.97"
"경상남도 창원시 진해구 풍호동(4812962000)","26,083","9,143","          2.85","13,013","13,070","          1.00","25,699","9,136","          2.81","12,858","12,841","          1.00","25,345","9,181","          2.76","12,666","12,679","          1.00"
"경상남도 창원시 진해구 웅천동(4812963000)","12,733","5,275","          2.41","6,459","6,274","          1.03","12,985","5,398","          2.41","6,594","6,391","          1.03","13,020","5,403","          2.41","6,586","6,434","          1.02"
"경상남도 창원시 진해구 웅동1동(4812964000)","6,465","2,745","          2.36","3,315","3,150","          1.05","6,975","3,113","          2.24","3,583","3,392","          1.06","7,878","3,586","          2.20","4,008","3,870","          1.04"
"경상남도 창원시 진해구 웅동2동(4812965000)","39,655","17,594","          2.25","21,378","18,277","          1.17","43,674","19,831","          2.20","23,534","20,140","          1.17","44,173","20,414","          2.16","23,961","20,212","          1.19"
