"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_20~24세","2020년_계_25~29세","2020년_계_30~34세","2020년_계_35~39세","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_20~24세","2020년_남_25~29세","2020년_남_30~34세","2020년_남_35~39세","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_20~24세","2020년_여_25~29세","2020년_여_30~34세","2020년_여_35~39세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_20~24세","2021년_계_25~29세","2021년_계_30~34세","2021년_계_35~39세","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_20~24세","2021년_남_25~29세","2021년_남_30~34세","2021년_남_35~39세","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_20~24세","2021년_여_25~29세","2021년_여_30~34세","2021년_여_35~39세","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_20~24세","2022년_계_25~29세","2022년_계_30~34세","2022년_계_35~39세","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_20~24세","2022년_남_25~29세","2022년_남_30~34세","2022년_남_35~39세","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_20~24세","2022년_여_25~29세","2022년_여_30~34세","2022년_여_35~39세"
"경상남도 창원시 마산합포구 진동면(4812532000)","12,349","2,594","556","529","580","929","6,330","1,401","302","302","315","482","6,019","1,193","254","227","265","447","12,129","2,344","508","533","524","779","6,239","1,279","274","307","288","410","5,890","1,065","234","226","236","369","11,903","2,124","459","498","502","665","6,124","1,161","243","284","274","360","5,779","963","216","214","228","305"
"경상남도 창원시 마산합포구 진북면(4812533000)","3,544","482","150","129","91","112","1,889","290","76","91","62","61","1,655","192","74","38","29","51","3,378","430","133","106","99","92","1,808","261","66","75","69","51","1,570","169","67","31","30","41","3,309","379","104","101","94","80","1,762","227","56","64","60","47","1,547","152","48","37","34","33"
"경상남도 창원시 마산합포구 진전면(4812534000)","4,004","429","134","113","81","101","1,990","262","79","77","48","58","2,014","167","55","36","33","43","3,848","369","109","94","77","89","1,900","227","68","67","46","46","1,948","142","41","27","31","43","3,770","346","86","98","69","93","1,865","215","51","71","41","52","1,905","131","35","27","28","41"
"경상남도 창원시 마산합포구 현동(4812551000)","14,293","3,769","584","631","874","1,680","7,109","1,864","319","309","402","834","7,184","1,905","265","322","472","846","14,124","3,362","525","574","786","1,477","7,007","1,663","288","279","369","727","7,117","1,699","237","295","417","750","13,916","2,981","461","487","783","1,250","6,895","1,447","245","253","352","597","7,021","1,534","216","234","431","653"
"경상남도 창원시 마산합포구 가포동(4812552000)","941","219","54","75","41","49","496","124","31","43","26","24","445","95","23","32","15","25","1,543","442","84","145","114","99","793","233","39","78","62","54","750","209","45","67","52","45","2,236","786","121","271","232","162","1,137","416","59","136","136","85","1,099","370","62","135","96","77"
"경상남도 창원시 마산합포구 월영동(4812553000)","35,173","9,094","2,423","2,029","1,980","2,662","17,438","4,860","1,344","1,158","992","1,366","17,735","4,234","1,079","871","988","1,296","42,370","11,305","2,598","2,378","2,774","3,555","21,034","5,998","1,465","1,306","1,393","1,834","21,336","5,307","1,133","1,072","1,381","1,721","42,156","10,691","2,543","2,192","2,664","3,292","20,888","5,676","1,448","1,215","1,339","1,674","21,268","5,015","1,095","977","1,325","1,618"
"경상남도 창원시 마산합포구 문화동(4812554000)","11,277","2,827","946","735","514","632","5,577","1,586","517","433","278","358","5,700","1,241","429","302","236","274","10,983","2,739","977","723","507","532","5,436","1,511","520","442","271","278","5,547","1,228","457","281","236","254","11,110","2,852","1,079","753","536","484","5,537","1,617","604","466","299","248","5,573","1,235","475","287","237","236"
"경상남도 창원시 마산합포구 반월중앙동(4812556500)","14,882","3,147","808","797","644","898","7,246","1,698","472","418","343","465","7,636","1,449","336","379","301","433","14,460","2,908","761","737","642","768","7,030","1,583","431","399","347","406","7,430","1,325","330","338","295","362","13,964","2,657","677","704","616","660","6,773","1,449","381","384","334","350","7,191","1,208","296","320","282","310"
"경상남도 창원시 마산합포구 완월동(4812557000)","9,274","2,001","592","549","399","461","4,522","1,112","315","305","235","257","4,752","889","277","244","164","204","9,001","1,843","533","513","383","414","4,350","994","281","267","211","235","4,651","849","252","246","172","179","8,846","1,730","461","491","404","374","4,291","933","245","261","217","210","4,555","797","216","230","187","164"
"경상남도 창원시 마산합포구 자산동(4812558000)","10,874","2,194","621","576","440","557","5,361","1,226","348","327","246","305","5,513","968","273","249","194","252","10,286","1,958","573","534","402","449","5,058","1,104","325","298","228","253","5,228","854","248","236","174","196","10,018","1,834","493","545","389","407","4,918","1,028","293","312","215","208","5,100","806","200","233","174","199"
"경상남도 창원시 마산합포구 교방동(4812561000)","15,508","3,372","777","748","767","1,080","7,686","1,817","434","403","415","565","7,822","1,555","343","345","352","515","16,106","3,566","759","768","940","1,099","7,988","1,895","413","409","500","573","8,118","1,671","346","359","440","526","16,001","3,357","686","737","950","984","7,924","1,759","364","376","503","516","8,077","1,598","322","361","447","468"
"경상남도 창원시 마산합포구 오동동(4812563000)","19,688","4,320","910","1,084","954","1,372","9,754","2,308","507","547","533","721","9,934","2,012","403","537","421","651","19,334","4,112","842","1,098","933","1,239","9,550","2,192","472","554","502","664","9,784","1,920","370","544","431","575","19,076","3,925","778","1,039","1,008","1,100","9,475","2,096","420","545","547","584","9,601","1,829","358","494","461","516"
"경상남도 창원시 마산합포구 합포동(4812564000)","6,921","1,376","298","328","325","425","3,502","806","174","191","186","255","3,419","570","124","137","139","170","7,328","1,575","297","376","425","477","3,707","897","169","215","233","280","3,621","678","128","161","192","197","7,053","1,467","254","348","407","458","3,559","816","130","203","227","256","3,494","651","124","145","180","202"
"경상남도 창원시 마산합포구 산호동(4812565000)","12,670","2,977","670","768","713","826","6,288","1,616","350","434","386","446","6,382","1,361","320","334","327","380","12,230","2,692","587","715","680","710","6,060","1,458","301","402","368","387","6,170","1,234","286","313","312","323","12,024","2,538","522","709","652","655","5,966","1,367","269","388","354","356","6,058","1,171","253","321","298","299"
