"행정구역","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"경상남도 창원시 성산구 가음정동(4812355000)","39,585","16,052","          2.47","20,045","19,540","          1.03","38,216","15,594","          2.45","19,295","18,921","          1.02","37,505","15,595","          2.40","18,912","18,593","          1.02"
"경상남도 창원시 성산구 성주동(4812356000)","25,927","9,838","          2.64","13,503","12,424","          1.09","25,666","9,876","          2.60","13,339","12,327","          1.08","26,113","10,224","          2.55","13,610","12,503","          1.09"
"경상남도 창원시 성산구 웅남동(4812357000)","7,500","3,462","          2.17","3,972","3,528","          1.13","7,348","3,435","          2.14","3,912","3,436","          1.14","7,031","3,336","          2.11","3,720","3,311","          1.12"
"경상남도 경상남도 창원시 마산합포구 (4812500000)","179,496","84,722","          2.12","89,243","90,253","          0.99","179,394","85,763","          2.09","89,116","90,278","          0.99","178,211","86,429","          2.06","88,459","89,752","          0.99"
"경상남도 창원시 마산합포구 구산면(4812531000)","4,114","2,343","          1.76","2,129","1,985","          1.07","4,008","2,325","          1.72","2,066","1,942","          1.06","3,919","2,299","          1.70","2,022","1,897","          1.07"
"경상남도 창원시 마산합포구 진동면(4812532000)","11,903","5,533","          2.15","6,124","5,779","          1.06","11,775","5,491","          2.14","6,060","5,715","          1.06","11,551","5,479","          2.11","5,896","5,655","          1.04"
"경상남도 창원시 마산합포구 진북면(4812533000)","3,309","1,751","          1.89","1,762","1,547","          1.14","3,191","1,830","          1.74","1,690","1,501","          1.13","3,110","1,819","          1.71","1,660","1,450","          1.14"
"경상남도 창원시 마산합포구 진전면(4812534000)","3,770","2,174","          1.73","1,865","1,905","          0.98","3,687","2,173","          1.70","1,830","1,857","          0.99","3,630","2,165","          1.68","1,815","1,815","          1.00"
"경상남도 창원시 마산합포구 현동(4812551000)","13,916","5,676","          2.45","6,895","7,021","          0.98","13,730","5,669","          2.42","6,810","6,920","          0.98","13,605","5,700","          2.39","6,742","6,863","          0.98"
"경상남도 창원시 마산합포구 가포동(4812552000)","2,236","1,335","          1.67","1,137","1,099","          1.03","2,704","1,628","          1.66","1,365","1,339","          1.02","4,982","2,603","          1.91","2,539","2,443","          1.04"
"경상남도 창원시 마산합포구 월영동(4812553000)","42,156","17,065","          2.47","20,888","21,268","          0.98","41,769","17,133","          2.44","20,710","21,059","          0.98","40,977","17,048","          2.40","20,271","20,706","          0.98"
"경상남도 창원시 마산합포구 문화동(4812554000)","11,110","6,004","          1.85","5,537","5,573","          0.99","10,978","6,063","          1.81","5,475","5,503","          0.99","10,762","6,055","          1.78","5,382","5,380","          1.00"
"경상남도 창원시 마산합포구 반월중앙동(4812556500)","13,964","6,369","          2.19","6,773","7,191","          0.94","13,581","6,299","          2.16","6,571","7,010","          0.94","13,247","6,225","          2.13","6,381","6,866","          0.93"
"경상남도 창원시 마산합포구 완월동(4812557000)","8,846","4,061","          2.18","4,291","4,555","          0.94","8,632","4,062","          2.13","4,173","4,459","          0.94","8,354","3,983","          2.10","4,043","4,311","          0.94"
"경상남도 창원시 마산합포구 자산동(4812558000)","10,018","4,738","          2.11","4,918","5,100","          0.96","9,409","4,489","          2.10","4,589","4,820","          0.95","8,945","4,358","          2.05","4,331","4,614","          0.94"
"경상남도 창원시 마산합포구 교방동(4812561000)","16,001","7,263","          2.20","7,924","8,077","          0.98","18,838","8,413","          2.24","9,340","9,498","          0.98","18,963","8,577","          2.21","9,387","9,576","          0.98"
"경상남도 창원시 마산합포구 오동동(4812563000)","19,076","10,552","          1.81","9,475","9,601","          0.99","18,545","10,459","          1.77","9,186","9,359","          0.98","18,197","10,448","          1.74","9,034","9,163","          0.99"
"경상남도 창원시 마산합포구 합포동(4812564000)","7,053","3,704","          1.90","3,559","3,494","          1.02","6,808","3,617","          1.88","3,404","3,404","          1.00","6,555","3,569","          1.84","3,290","3,265","          1.01"
"경상남도 창원시 마산합포구 산호동(4812565000)","12,024","6,154","          1.95","5,966","6,058","          0.98","11,739","6,112","          1.92","5,847","5,892","          0.99","11,414","6,101","          1.87","5,666","5,748","          0.99"
"경상남도 경상남도 창원시 마산회원구 (4812700000)","183,662","82,697","          2.22","91,696","91,966","          1.00","179,818","82,225","          2.19","89,659","90,159","          0.99","178,724","82,805","          2.16","89,115","89,609","          0.99"
"경상남도 창원시 마산회원구 내서읍(4812725000)","62,429","25,292","          2.47","31,282","31,147","          1.00","61,089","25,260","          2.42","30,578","30,511","          1.00","59,388","25,204","          2.36","29,759","29,629","          1.00"
"경상남도 창원시 마산회원구 회원1동(4812751000)","10,023","5,190","          1.93","4,943","5,080","          0.97","9,768","5,165","          1.89","4,787","4,981","          0.96","9,536","5,086","          1.87","4,677","4,859","          0.96"
"경상남도 창원시 마산회원구 회원2동(4812752000)","9,928","4,592","          2.16","4,891","5,037","          0.97","9,717","4,532","          2.14","4,763","4,954","          0.96","9,505","4,474","          2.12","4,667","4,838","          0.96"
"경상남도 창원시 마산회원구 석전동(4812754500)","16,634","7,895","          2.11","8,270","8,364","          0.99","16,249","7,842","          2.07","8,079","8,170","          0.99","15,821","7,710","          2.05","7,820","8,001","          0.98"
"경상남도 창원시 마산회원구 회성동(4812755000)","5,770","3,014","          1.91","2,921","2,849","          1.03","5,456","2,931","          1.86","2,744","2,712","          1.01","5,168","2,805","          1.84","2,617","2,551","          1.03"
"경상남도 창원시 마산회원구 양덕1동(4812756000)","10,785","5,493","          1.96","5,379","5,406","          1.00","10,572","5,480","          1.93","5,267","5,305","          0.99","10,290","5,403","          1.90","5,138","5,152","          1.00"
"경상남도 창원시 마산회원구 양덕2동(4812757000)","30,715","11,885","          2.58","15,075","15,640","          0.96","30,413","11,842","          2.57","14,946","15,467","          0.97","32,384","12,765","          2.54","15,943","16,441","          0.97"
"경상남도 창원시 마산회원구 합성1동(4812758000)","9,020","4,530","          1.99","4,555","4,465","          1.02","8,871","4,486","          1.98","4,482","4,389","          1.02","8,605","4,416","          1.95","4,353","4,252","          1.02"
"경상남도 창원시 마산회원구 합성2동(4812759000)","7,374","4,200","          1.76","3,695","3,679","          1.00","7,196","4,167","          1.73","3,597","3,599","          1.00","8,336","4,626","          1.80","4,158","4,178","          1.00"
"경상남도 창원시 마산회원구 구암1동(4812760000)","8,673","4,352","          1.99","4,333","4,340","          1.00","8,490","4,321","          1.96","4,239","4,251","          1.00","8,116","4,231","          1.92","4,049","4,067","          1.00"
"경상남도 창원시 마산회원구 구암2동(4812761000)","9,207","4,428","          2.08","4,608","4,599","          1.00","9,004","4,426","          2.03","4,505","4,499","          1.00","8,735","4,360","          2.00","4,357","4,378","          1.00"
"경상남도 창원시 마산회원구 봉암동(4812762000)","3,104","1,826","          1.70","1,744","1,360","          1.28","2,993","1,773","          1.69","1,672","1,321","          1.27","2,840","1,725","          1.65","1,577","1,263","          1.25"
"경상남도 경상남도 창원시 진해구 (4812900000)","193,994","85,866","          2.26","99,711","94,283","          1.06","191,225","85,629","          2.23","98,295","92,930","          1.06","188,739","85,772","          2.20","97,185","91,554","          1.06"
"경상남도 창원시 진해구 충무동(4812953000)","16,454","7,736","          2.13","8,548","7,906","          1.08","16,115","7,669","          2.10","8,327","7,788","          1.07","15,495","7,550","          2.05","8,010","7,485","          1.07"
"경상남도 창원시 진해구 여좌동(4812954000)","8,340","4,359","          1.91","4,129","4,211","          0.98","8,072","4,304","          1.88","3,997","4,075","          0.98","7,811","4,214","          1.85","3,884","3,927","          0.99"
"경상남도 창원시 진해구 태백동(4812955000)","3,726","1,956","          1.90","1,871","1,855","          1.01","3,571","1,895","          1.88","1,783","1,788","          1.00","3,459","1,869","          1.85","1,732","1,727","          1.00"
"경상남도 창원시 진해구 경화동(4812956000)","10,928","4,644","          2.35","5,524","5,404","          1.02","10,672","4,587","          2.33","5,378","5,294","          1.02","10,466","4,548","          2.30","5,289","5,177","          1.02"
"경상남도 창원시 진해구 병암동(4812957000)","7,301","3,416","          2.14","3,590","3,711","          0.97","7,087","3,371","          2.10","3,485","3,602","          0.97","6,862","3,338","          2.06","3,373","3,489","          0.97"
"경상남도 창원시 진해구 석동(4812958000)","17,475","7,328","          2.38","9,013","8,462","          1.07","17,322","7,391","          2.34","8,946","8,376","          1.07","17,098","7,351","          2.33","8,841","8,257","          1.07"
"경상남도 창원시 진해구 이동(4812959000)","8,501","4,776","          1.78","4,504","3,997","          1.13","8,369","4,817","          1.74","4,429","3,940","          1.12","8,221","4,834","          1.70","4,373","3,848","          1.14"
"경상남도 창원시 진해구 자은동(4812960000)","20,931","8,879","          2.36","10,428","10,503","          0.99","20,611","8,838","          2.33","10,289","10,322","          1.00","20,215","8,841","          2.29","10,102","10,113","          1.00"
"경상남도 창원시 진해구 덕산동(4812961000)","9,922","4,188","          2.37","4,883","5,039","          0.97","9,691","4,139","          2.34","4,786","4,905","          0.98","9,248","4,089","          2.26","4,575","4,673","          0.98"
"경상남도 창원시 진해구 풍호동(4812962000)","25,345","9,181","          2.76","12,666","12,679","          1.00","25,231","9,201","          2.74","12,605","12,626","          1.00","24,805","9,159","          2.71","12,359","12,446","          0.99"
"경상남도 창원시 진해구 웅천동(4812963000)","13,020","5,403","          2.41","6,586","6,434","          1.02","12,980","5,405","          2.40","6,545","6,435","          1.02","13,886","5,777","          2.40","6,979","6,907","          1.01"
"경상남도 창원시 진해구 웅동1동(4812964000)","7,878","3,586","          2.20","4,008","3,870","          1.04","7,802","3,590","          2.17","3,977","3,825","          1.04","7,657","3,568","          2.15","3,922","3,735","          1.05"
"경상남도 창원시 진해구 웅동2동(4812965000)","44,173","20,414","          2.16","23,961","20,212","          1.19","43,702","20,422","          2.14","23,748","19,954","          1.19","43,516","20,634","          2.11","23,746","19,770","          1.20"
