행정동코드,측정일,측정시간,측정카테고리,측정값
4831000000,2024-09-09,12,pm10Value,15
4831000000,2024-09-09,13,pm10Value,12
4831000000,2024-09-09,14,pm10Value,12
4831000000,2024-09-09,15,pm10Value,11
4831000000,2024-09-09,16,pm10Value,13
4831000000,2024-09-09,17,pm10Value,14
4831000000,2024-09-09,18,pm10Value,9.5
4831000000,2024-09-09,19,pm10Value,11
4831000000,2024-09-09,20,pm10Value,13
4831000000,2024-09-09,21,pm10Value,12
4831000000,2024-09-09,22,pm10Value,16
4831000000,2024-09-09,23,pm10Value,13
4831000000,2024-09-10,1,pm10Value,15.5
4831000000,2024-09-10,2,pm10Value,13.5
4831000000,2024-09-10,3,pm10Value,14.5
4831000000,2024-09-10,4,pm10Value,13.5
4831000000,2024-09-10,5,pm10Value,12.3333
4831000000,2024-09-10,6,pm10Value,17
4831000000,2024-09-10,7,pm10Value,17.5
4831000000,2024-09-10,8,pm10Value,15
4831000000,2024-09-10,9,pm10Value,15.5
4831000000,2024-09-10,10,pm10Value,15.5
4831000000,2024-09-10,11,pm10Value,17
4831000000,2024-09-10,12,pm10Value,16.5
4831000000,2024-09-10,13,pm10Value,15
4831000000,2024-09-10,14,pm10Value,11
4831000000,2024-09-10,15,pm10Value,16
4831000000,2024-09-10,16,pm10Value,14.5
4831000000,2024-09-10,17,pm10Value,12
4831000000,2024-09-10,18,pm10Value,13.5
4831000000,2024-09-10,19,pm10Value,13
4831000000,2024-09-10,20,pm10Value,15
4831000000,2024-09-10,21,pm10Value,16.5
4831000000,2024-09-10,22,pm10Value,19.5
4831000000,2024-09-10,23,pm10Value,15.5
4831000000,2024-09-11,1,pm10Value,16.5
4831000000,2024-09-11,2,pm10Value,19
4831000000,2024-09-11,3,pm10Value,17.5
4831000000,2024-09-11,4,pm10Value,18.5
4831000000,2024-09-11,5,pm10Value,18.5
4831000000,2024-09-11,6,pm10Value,18
4831000000,2024-09-11,7,pm10Value,18.5
4831000000,2024-09-11,8,pm10Value,15.5
4831000000,2024-09-11,9,pm10Value,13.5
4831000000,2024-09-11,10,pm10Value,9.5
4831000000,2024-09-11,11,pm10Value,8
4831000000,2024-09-11,12,pm10Value,8.5
4831000000,2024-09-11,13,pm10Value,16.5
4831000000,2024-09-11,14,pm10Value,11.5
4831000000,2024-09-11,15,pm10Value,9.5
4831000000,2024-09-11,16,pm10Value,14
4831000000,2024-09-11,17,pm10Value,15
4831000000,2024-09-11,18,pm10Value,16
4831000000,2024-09-11,19,pm10Value,18.5
4831000000,2024-09-11,20,pm10Value,19
4831000000,2024-09-11,21,pm10Value,16
4831000000,2024-09-11,22,pm10Value,16.5
4831000000,2024-09-11,23,pm10Value,16.5
4831000000,2024-09-12,1,pm10Value,13.5
4831000000,2024-09-12,2,pm10Value,17
4831000000,2024-09-12,3,pm10Value,20
4831000000,2024-09-12,4,pm10Value,20
4831000000,2024-09-12,5,pm10Value,23.5
4831000000,2024-09-12,6,pm10Value,23.5
4831000000,2024-09-12,7,pm10Value,24
4831000000,2024-09-12,8,pm10Value,25.5
4831000000,2024-09-12,9,pm10Value,22
4831000000,2024-09-12,10,pm10Value,22.5
4831000000,2024-09-12,11,pm10Value,21
4831000000,2024-09-12,12,pm10Value,18.5
4831000000,2024-09-12,13,pm10Value,28.3333
4831000000,2024-09-12,14,pm10Value,21
4831000000,2024-09-12,15,pm10Value,18
4831000000,2024-09-12,16,pm10Value,18
4831000000,2024-09-12,17,pm10Value,16.3333
4831000000,2024-09-12,18,pm10Value,17.3333
4831000000,2024-09-12,19,pm10Value,18.6667
4831000000,2024-09-12,20,pm10Value,17.3333
4831000000,2024-09-12,21,pm10Value,15.3333
4831000000,2024-09-12,22,pm10Value,16
4831000000,2024-09-12,23,pm10Value,15
4831000000,2024-09-13,1,pm10Value,19.3333
4831000000,2024-09-13,2,pm10Value,17.3333
4831000000,2024-09-13,3,pm10Value,17
4831000000,2024-09-13,4,pm10Value,14
4831000000,2024-09-13,5,pm10Value,15
4831000000,2024-09-13,6,pm10Value,17
4831000000,2024-09-13,7,pm10Value,17.6667
4831000000,2024-09-13,8,pm10Value,17
4831000000,2024-09-13,9,pm10Value,17.3333
4831000000,2024-09-13,10,pm10Value,19.3333
4831000000,2024-09-13,11,pm10Value,21.3333
4831000000,2024-09-13,12,pm10Value,20.3333
4831000000,2024-09-13,13,pm10Value,16.6667
4831000000,2024-09-13,14,pm10Value,12.6667
4831000000,2024-09-13,15,pm10Value,14
4831000000,2024-09-13,16,pm10Value,10.6667
4831000000,2024-09-13,17,pm10Value,12.6667
4831000000,2024-09-13,18,pm10Value,12
4831000000,2024-09-13,19,pm10Value,11
4831000000,2024-09-13,20,pm10Value,12
4831000000,2024-09-13,21,pm10Value,13.6667
4831000000,2024-09-13,22,pm10Value,13.3333
4831000000,2024-09-13,23,pm10Value,15.3333
4831000000,2024-09-14,1,pm10Value,11.5
4831000000,2024-09-14,2,pm10Value,10.3333
4831000000,2024-09-14,3,pm10Value,11.3333
4831000000,2024-09-14,4,pm10Value,13.6667
4831000000,2024-09-14,5,pm10Value,14
4831000000,2024-09-14,6,pm10Value,13.6667
4831000000,2024-09-14,7,pm10Value,12
4831000000,2024-09-14,8,pm10Value,11.6667
4831000000,2024-09-14,9,pm10Value,10.6667
4831000000,2024-09-14,10,pm10Value,11.3333
4831000000,2024-09-14,11,pm10Value,13.3333
4831000000,2024-09-14,12,pm10Value,13.3333
4831000000,2024-09-14,13,pm10Value,14
4831000000,2024-09-14,14,pm10Value,13
4831000000,2024-09-14,15,pm10Value,7.5
4831000000,2024-09-14,16,pm10Value,7
4831000000,2024-09-14,17,pm10Value,9
4831000000,2024-09-14,18,pm10Value,12.6667
4831000000,2024-09-14,19,pm10Value,14.5
4831000000,2024-09-14,20,pm10Value,12.5
4831000000,2024-09-14,21,pm10Value,13
4831000000,2024-09-14,22,pm10Value,9.6667
4831000000,2024-09-14,23,pm10Value,9
4831000000,2024-09-15,1,pm10Value,11
4831000000,2024-09-15,2,pm10Value,12
4831000000,2024-09-15,3,pm10Value,15
4831000000,2024-09-15,4,pm10Value,14
4831000000,2024-09-15,5,pm10Value,10.5
4831000000,2024-09-15,6,pm10Value,13.6667
4831000000,2024-09-15,7,pm10Value,14.6667
4831000000,2024-09-15,8,pm10Value,16.6667
4831000000,2024-09-15,9,pm10Value,15.6667
4831000000,2024-09-15,10,pm10Value,14.3333
4831000000,2024-09-15,11,pm10Value,13.6667
4831000000,2024-09-15,12,pm10Value,12.3333
4831000000,2024-09-15,13,pm10Value,11
4831000000,2024-09-15,14,pm10Value,14.6667
4831000000,2024-09-15,15,pm10Value,13.25
4831000000,2024-09-15,16,pm10Value,11.5
4831000000,2024-09-15,17,pm10Value,12.75
4831000000,2024-09-15,18,pm10Value,13.5
4831000000,2024-09-15,19,pm10Value,12.3333
4831000000,2024-09-15,20,pm10Value,12
4831000000,2024-09-15,21,pm10Value,8.6667
4831000000,2024-09-15,22,pm10Value,5.3333
4831000000,2024-09-15,23,pm10Value,5.3333
4831000000,2024-09-16,1,pm10Value,8.3333
4831000000,2024-09-16,2,pm10Value,7
4831000000,2024-09-16,3,pm10Value,5.6667
4831000000,2024-09-16,4,pm10Value,6.6667
4831000000,2024-09-16,5,pm10Value,6.3333
4831000000,2024-09-16,6,pm10Value,7.6667
4831000000,2024-09-16,7,pm10Value,6.3333
4831000000,2024-09-16,8,pm10Value,5.3333
4831000000,2024-09-16,9,pm10Value,4.6667
4831000000,2024-09-16,10,pm10Value,5
4831000000,2024-09-16,11,pm10Value,7
4831000000,2024-09-16,12,pm10Value,6.6667
4831000000,2024-09-16,13,pm10Value,7
4831000000,2024-09-16,14,pm10Value,7.3333
4831000000,2024-09-16,15,pm10Value,8
4831000000,2024-09-16,16,pm10Value,10.5
4831000000,2024-09-16,17,pm10Value,11.6667
4831000000,2024-09-16,18,pm10Value,14
4831000000,2024-09-16,19,pm10Value,14.6667
4831000000,2024-09-16,20,pm10Value,12.3333
4831000000,2024-09-16,21,pm10Value,14
4831000000,2024-09-16,22,pm10Value,15
4831000000,2024-09-16,23,pm10Value,15.6667
4831000000,2024-09-17,1,pm10Value,14
4831000000,2024-09-17,2,pm10Value,15
4831000000,2024-09-17,3,pm10Value,14.3333
4831000000,2024-09-17,4,pm10Value,11.3333
4831000000,2024-09-17,5,pm10Value,13.3333
4831000000,2024-09-17,6,pm10Value,10.6667
4831000000,2024-09-17,7,pm10Value,13
4831000000,2024-09-17,8,pm10Value,11.6667
4831000000,2024-09-17,9,pm10Value,10.3333
4831000000,2024-09-17,10,pm10Value,10.6667
4831000000,2024-09-17,11,pm10Value,9.6667
4831000000,2024-09-17,12,pm10Value,10
4831000000,2024-09-17,13,pm10Value,12.3333
4831000000,2024-09-17,14,pm10Value,10.3333
4831000000,2024-09-17,15,pm10Value,7.6667
4831000000,2024-09-17,16,pm10Value,8.6667
4831000000,2024-09-17,17,pm10Value,6.6667
4831000000,2024-09-17,18,pm10Value,8.6667
4831000000,2024-09-17,19,pm10Value,10.6667
4831000000,2024-09-17,20,pm10Value,10.6667
4831000000,2024-09-17,21,pm10Value,9.6667
4831000000,2024-09-17,22,pm10Value,9.2
4831000000,2024-09-17,23,pm10Value,10
4831000000,2024-09-18,1,pm10Value,12.3333
4831000000,2024-09-18,2,pm10Value,14.3333
4831000000,2024-09-18,3,pm10Value,12.3333
4831000000,2024-09-18,4,pm10Value,10.3333
4831000000,2024-09-18,5,pm10Value,9.6667
4831000000,2024-09-18,6,pm10Value,11
4831000000,2024-09-18,7,pm10Value,9.6667
4831000000,2024-09-18,8,pm10Value,11
4831000000,2024-09-18,9,pm10Value,11.6667
4831000000,2024-09-18,10,pm10Value,8.3333
4831000000,2024-09-18,11,pm10Value,12.3333
4831000000,2024-09-18,12,pm10Value,9
4831000000,2024-09-18,13,pm10Value,10.5
4831000000,2024-09-18,14,pm10Value,13.5
4831000000,2024-09-18,15,pm10Value,11.6667
4831000000,2024-09-18,16,pm10Value,13.6667
4831000000,2024-09-18,17,pm10Value,13.3333
4831000000,2024-09-18,18,pm10Value,13.3333
4831000000,2024-09-18,19,pm10Value,13.3333
4831000000,2024-09-18,20,pm10Value,10.6667
4831000000,2024-09-18,21,pm10Value,12
4831000000,2024-09-18,22,pm10Value,12.6667
4831000000,2024-09-18,23,pm10Value,11.6667
4831000000,2024-09-19,1,pm10Value,12.6667
4831000000,2024-09-19,2,pm10Value,10.6667
4831000000,2024-09-19,3,pm10Value,11.6667
4831000000,2024-09-19,4,pm10Value,14.3333
4831000000,2024-09-19,5,pm10Value,10
4831000000,2024-09-19,6,pm10Value,9.3333
4831000000,2024-09-19,7,pm10Value,11.3333
4831000000,2024-09-19,8,pm10Value,12
4831000000,2024-09-19,9,pm10Value,14.3333
4831000000,2024-09-19,10,pm10Value,15.5
4831000000,2024-09-19,11,pm10Value,19.5
4831000000,2024-09-19,12,pm10Value,21.5
4831000000,2024-09-19,13,pm10Value,21.5
4831000000,2024-09-19,14,pm10Value,19
4831000000,2024-09-19,15,pm10Value,19.5
4831000000,2024-09-19,16,pm10Value,17.6667
4831000000,2024-09-19,17,pm10Value,18.6667
4831000000,2024-09-19,18,pm10Value,17.3333
4831000000,2024-09-19,19,pm10Value,16
4831000000,2024-09-19,20,pm10Value,15.6667
4831000000,2024-09-19,21,pm10Value,14.6667
4831000000,2024-09-19,22,pm10Value,17.3333
4831000000,2024-09-19,23,pm10Value,16
4831000000,2024-09-20,1,pm10Value,12.6667
4831000000,2024-09-20,2,pm10Value,16.6667
4831000000,2024-09-20,3,pm10Value,18
4831000000,2024-09-20,4,pm10Value,17.6667
4831000000,2024-09-20,5,pm10Value,17
4831000000,2024-09-20,6,pm10Value,17
4831000000,2024-09-20,7,pm10Value,18.6667
4831000000,2024-09-20,8,pm10Value,14.6667
4831000000,2024-09-20,9,pm10Value,14.6667
4831000000,2024-09-20,10,pm10Value,14.6667
4831000000,2024-09-20,11,pm10Value,14
4831000000,2024-09-20,12,pm10Value,17
4831000000,2024-09-20,13,pm10Value,13.5
4831000000,2024-09-20,14,pm10Value,13
4831000000,2024-09-20,15,pm10Value,9
4831000000,2024-09-20,16,pm10Value,15
