"행정구역별","산업별","항목","단위","2019 년","2020 년","2021 년","2022 년","2023 년",
"동읍","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","1","12","11","10","15",
"동읍","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","1","12","11","10","26",
"동읍","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","2","6","6","6","5",
"동읍","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","26","39","36","36","36",
"동읍","건설업","사업체수[개]","개","57","147","150","149","157",
"동읍","건설업","종사자수[명]","명","298","914","640","540","467",
"동읍"," 도매 및 소매업","사업체수[개]","개","295","446","447","444","461",
"동읍"," 도매 및 소매업","종사자수[명]","명","801","1018","1002","1058","1035",
"동읍","운수 및 창고업","사업체수[개]","개","138","175","192","186","210",
"동읍","운수 및 창고업","종사자수[명]","명","543","635","499","508","557",
"동읍","숙박 및 음식점업","사업체수[개]","개","202","219","222","213","222",
"동읍","숙박 및 음식점업","종사자수[명]","명","471","422","432","435","451",
"동읍","정보통신업","사업체수[개]","개","5","10","11","14","13",
"동읍","정보통신업","종사자수[명]","명","12","12","15","32","21",
"동읍","금융 및 보험업","사업체수[개]","개","7","7","9","9","10",
"동읍","금융 및 보험업","종사자수[명]","명","60","53","49","49","47",
"동읍","부동산업","사업체수[개]","개","63","75","78","70","70",
"동읍","부동산업","종사자수[명]","명","135","135","140","100","129",
"동읍","전문,과학 및 기술 서비스업","사업체수[개]","개","4","16","18","26","28",
"동읍","전문,과학 및 기술 서비스업","종사자수[명]","명","13","25","27","62","69",
"동읍","사업시설관리, 사업지원 및 임대 서비스업","사업체수[개]","개","16","48","44","37","44",
"동읍","사업시설관리, 사업지원 및 임대 서비스업","종사자수[명]","명","76","94","144","193","177",
"동읍","공공행정,국방 및 사회보장행정","사업체수[개]","개","3","3","3","3","3",
"동읍","공공행정,국방 및 사회보장행정","종사자수[명]","명","69","85","83","98","70",
"동읍","교육서비스업","사업체수[개]","개","64","72","73","73","77",
"동읍","교육서비스업","종사자수[명]","명","407","406","405","355","331",
"동읍","보건업 및 사회복지 서비스업","사업체수[개]","개","60","66","65","69","68",
"동읍","보건업 및 사회복지 서비스업","종사자수[명]","명","633","661","705","630","687",
"동읍","예술,스포츠 및 여가관련 서비스업","사업체수[개]","개","35","37","38","37","39",
"동읍","예술,스포츠 및 여가관련 서비스업","종사자수[명]","명","82","102","123","108","104",
"동읍","협회 및 단체,수리 및 기타 개인서비스업","사업체수[개]","개","137","163","169","169","171",
"동읍","협회 및 단체,수리 및 기타 개인서비스업","종사자수[명]","명","257","242","248","259","273",
"북면","합계","사업체수[개]","개","1967","3023","3175","3444","3594",
"북면","합계","여성대표자사업체수[개]","개","835","1217","1281","1383","1434",
"북면","합계","종사자수[명]","명","7513","8724","8903","9500","9941",
"북면","합계","남자종사자수[명]","명","3699","4391","4554","4899","5119",
"북면","합계","여자종사자수[명]","명","3814","4333","4349","4601","4822",
"북면","농업,임업 및 어업","사업체수[개]","개","2","7","9","9","8",
"북면","농업,임업 및 어업","종사자수[명]","명","5","50","18","18","40",
"북면","광업","사업체수[개]","개","0","0","0","-","-",
"북면","광업","종사자수[명]","명","0","0","0","-","-",
"북면","제조업","사업체수[개]","개","356","537","549","615","562",
"북면","제조업","종사자수[명]","명","1515","1768","1798","2031","2027",
"북면","전기,가스,증기 및 공기조절 공급업","사업체수[개]","개","4","27","25","25","29",
"북면","전기,가스,증기 및 공기조절 공급업","종사자수[명]","명","6","29","25","25","31",
"북면","수도, 하수 및 폐기물 처리, 원료 재생업","사업체수[개]","개","5","7","8","9","10",
"북면","수도, 하수 및 폐기물 처리, 원료 재생업","종사자수[명]","명","36","39","58","59","58",
"북면","건설업","사업체수[개]","개","65","189","192","203","200",
"북면","건설업","종사자수[명]","명","475","608","647","692","712",
"북면"," 도매 및 소매업","사업체수[개]","개","367","696","739","820","920",
"북면"," 도매 및 소매업","종사자수[명]","명","1043","1405","1411","1541","1673",
"북면","운수 및 창고업","사업체수[개]","개","160","199","242","286","335",
"북면","운수 및 창고업","종사자수[명]","명","267","339","383","408","497",
"북면","숙박 및 음식점업","사업체수[개]","개","393","462","472","481","477",
"북면","숙박 및 음식점업","종사자수[명]","명","1075","1022","1035","1109","1133",
"북면","정보통신업","사업체수[개]","개","2","14","22","27","36",
"북면","정보통신업","종사자수[명]","명","7","22","33","48","81",
