"행정구역별(1)",행정구역별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(1)",행정구역별(2),합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상,합계,합계,합계,합계,합계,1~4명,1~4명,5~9명,5~9명,10~19명,10~19명,20~49명,20~49명,50~99명,50~99명,100~299명,100~299명,300~499명,300~499명,500~999명,500~999명,1000명이상,1000명이상
"행정구역별(1)",행정구역별(2),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),여성대표자사업체수 (개),종사자수 (명),남자종사자수 (명),여자종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"성산구",성주동,1431,586,23447,17663,5784,961,1781,215,1423,89,1253,89,2622,41,2964,25,4137,5,1965,2,1714,4,5588,1895,722,23791,18135,5656,1467,2195,187,1243,82,1152,82,2364,41,2861,23,3919,7,2714,1,553,5,6790,1986,757,25187,18707,6480,1546,2329,181,1153,98,1321,84,2506,40,2757,24,3946,6,2490,2,1360,5,7325,2006,777,25958,19472,6486,1570,2378,179,1136,93,1271,86,2477,44,2970,21,3823,7,2867,1,826,5,8210,4007,737,52532,43702,8830,2673,4503,585,3798,352,4683,244,7285,91,6230,41,7273,11,4171,6,4314,4,10275
"성산구",웅남동,3461,595,55323,46793,8530,1999,3947,728,4869,313,4205,253,7750,97,6540,50,8246,11,4320,6,3994,4,11452,4566,751,56132,47288,8844,3130,5157,685,4562,328,4367,266,7871,92,6241,42,7107,12,4394,7,4594,4,11839,4561,785,54399,45630,8769,3202,5345,606,3905,341,4528,259,7670,91,6185,42,7601,9,3575,7,4668,4,10922,4517,777,54379,45660,8719,3181,5391,589,3803,341,4598,247,7333,94,6409,44,7681,10,3879,7,4561,4,10724,3045,1317,21074,10728,10346,2536,3817,288,1815,99,1322,69,2271,31,2247,15,2514,4,1729,1,X,2,X
"마산합포구",소계,18129,7960,64926,32111,32815,15888,27386,1370,8533,476,6119,271,8239,86,5923,30,4601,6,2222,1,679,1,1224,22579,9406,65669,34375,31294,20533,29212,1217,7739,437,5767,265,8108,88,6007,33,5230,3,1189,2,1273,1,1144,22748,9509,68203,35709,32494,20708,29580,1174,7331,456,5982,277,8532,87,5858,38,5728,4,1610,3,2412,1,1170,22604,9366,67986,35258,32728,20585,29512,1155,7309,442,5794,282,8684,92,6085,40,6369,5,1826,2,1296,1,1111,22789,9571,67448,34243,33205,20687,28836,1215,7549,477,6198,269,8260,97,6588,36,5770,5,1803,2,1343,1,X
"마산합포구",구산면,404,178,1712,857,855,340,657,36,223,10,124,16,540,1,56,1,112,-,-,-,-,-,-,531,209,1710,929,781,478,737,28,173,7,90,16,553,1,57,1,100,0,0,0,0,0,0,535,206,1745,900,845,482,736,27,169,7,84,15,475,3,161,1,120,0,0,0,0,0,0,531,199,1798,931,867,474,765,30,182,9,113,14,435,3,180,1,123,0,0,0,0,0,0,587,217,1889,989,900,526,838,32,204,11,132,15,470,2,X,1,X,-,-,-,-,-,-
"마산합포구",진동면,1027,500,3552,1779,1773,875,1678,100,646,30,398,16,446,6,384,-,-,-,-,-,-,-,-,1320,600,3553,1829,1724,1177,1812,94,619,29,401,16,476,4,245,0,0,0,0,0,0,0,0,1308,589,3343,1661,1682,1186,1752,73,487,27,364,19,550,3,190,0,0,0,0,0,0,0,0,1304,589,3475,1690,1785,1177,1751,72,475,31,424,21,630,3,195,0,0,0,0,0,0,0,0,1343,615,3423,1658,1765,1221,1740,68,436,28,374,23,672,3,201,-,-,-,-,-,-,-,-
"마산합포구",진북면,704,163,4887,3649,1238,464,914,118,799,69,906,40,1192,12,884,1,192,-,-,-,-,-,-,939,214,5097,3887,1210,693,1147,131,882,62,826,41,1239,10,684,2,319,0,0,0,0,0,0,982,211,5094,3834,1260,747,1220,116,756,67,900,39,1189,10,639,3,390,0,0,0,0,0,0,989,216,5184,3895,1289,758,1177,104,692,74,953,37,1114,14,889,2,359,0,0,0,0,0,0,952,210,5281,3944,1337,700,1050,128,816,67,890,43,1295,11,765,3,465,-,-,-,-,-,-
"마산합포구",진전면,382,145,1270,718,552,341,608,20,122,9,124,10,290,2,126,-,-,-,-,-,-,-,-,479,170,1384,850,534,430,615,23,142,13,189,11,315,2,123,0,0,0,0,0,0,0,0,495,184,1357,815,542,458,637,12,72,11,143,12,359,2,146,0,0,0,0,0,0,0,0,513,187,1422,822,600,478,698,14,84,5,60,14,452,2,128,0,0,0,0,0,0,0,0,532,205,1480,869,611,490,695,19,121,7,94,15,495,1,X,-,-,-,-,-,-,-,-
"마산합포구",현동,458,225,3831,2264,1567,351,701,67,418,21,263,6,157,5,382,7,1231,-,-,1,679,-,-,727,342,3987,2364,1623,638,975,55,370,17,206,4,113,4,283,8,1387,0,0,1,653,0,0,787,370,4218,2442,1776,691,1028,56,350,18,227,10,327,2,132,9,1483,0,0,1,671,0,0,827,385,4540,2730,1810,726,1063,54,331,25,324,8,243,3,195,9,1515,1,307,1,562,0,0,865,378,4614,2731,1883,763,1102,52,325,28,347,7,238,4,243,9,1473,1,X,1,X,-,-
"마산합포구",가포동,116,34,1121,604,517,60,143,33,230,12,163,7,230,3,201,1,154,-,-,-,-,-,-,146,35,1098,611,487,102,175,21,145,11,163,8,254,3,196,1,165,0,0,0,0,0,0,183,44,1309,771,538,130,238,28,189,12,151,8,234,2,129,3,368,0,0,0,0,0,0,186,46,1403,848,555,136,280,24,164,10,139,11,305,2,139,3,376,0,0,0,0,0,0,220,62,1470,788,682,161,300,30,192,13,172,11,285,3,234,2,X,-,-,-,-,-,-
"마산합포구",월영동,1747,938,7820,3654,4166,1450,2670,212,1271,48,563,24,789,7,453,4,502,1,348,-,-,1,1224,2215,1121,7608,3440,4168,1976,2935,159,978,43,531,25,791,7,449,3,388,1,392,0,0,1,1144,2389,1250,8532,3899,4633,2105,3115,184,1112,63,849,22,772,8,485,5,606,1,423,0,0,1,1170,2474,1298,8077,3258,4819,2190,3165,196,1226,48,640,25,814,9,526,5,595,0,0,0,0,1,1111,2639,1390,8235,3376,4859,2339,3353,204,1246,62,806,20,640,9,566,4,523,-,-,-,-,1,X
"마산합포구",문화동,935,491,3147,1225,1922,848,1518,55,340,19,247,8,262,3,245,1,135,1,400,-,-,-,-,1141,577,3415,1483,1932,1043,1515,62,398,22,298,7,232,4,323,2,256,1,393,0,0,0,0,1153,561,3417,1406,2011,1066,1619,45,282,24,312,13,374,3,250,1,189,1,391,0,0,0,0,1116,533,3773,1601,2172,1021,1644,47,294,29,396,12,387,4,299,2,383,1,370,0,0,0,0,1093,560,3762,1462,2300,975,1435,72,456,25,336,12,347,6,393,2,X,1,X,-,-,-,-
"마산합포구",반월중앙동,1059,548,5205,2483,2722,878,1507,112,697,40,527,13,368,9,652,5,835,2,619,-,-,-,-,1306,637,5334,2593,2741,1151,1707,93,597,35,489,13,368,9,682,4,871,0,0,1,620,0,0,1293,616,6481,3712,2769,1139,1695,89,560,34,456,15,392,8,585,6,1052,0,0,2,1741,0,0,1314,632,6121,3212,2909,1157,1693,96,601,28,367,17,475,6,405,8,1479,1,367,1,734,0,0,666,287,2835,1101,1734,596,932,35,208,14,181,11,353,8,589,1,X,1,X,-,-,-,-
