시도명,시군구명,관리기관,회사명,공장구분,단지명,공장주소,공장주소_지번,종업원합계,addr_raw,addr_gu,bjd7,prio,dong_list,bjd7_step2
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)신진테크,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 28호 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 28호,0,"경상남도 창원시 의창구 남면로 219, 2동 1층 28호 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)신진테크,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로113번길 25-42 (대원동, 신진TECH)",경상남도 창원시 성산구 대원동 86-7번지,12,"경상남도 창원시 의창구 남면로113번길 25-42 (대원동, 신진TECH)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)에스엔티,계획,창원국가산업단지,경상남도 창원시 의창구 남면로 127 (대원동),경상남도 창원시 성산구 대원동 91-5번지,32,경상남도 창원시 의창구 남면로 127 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)우진파워텍 대원동지점,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 20호 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 20호,8,"경상남도 창원시 의창구 남면로 219, 2동 1층 20호 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)인터뱅크,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 1동 1층 2호 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 1동 1층 2호,10,"경상남도 창원시 의창구 남면로 219, 1동 1층 2호 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)코리아이엔지,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 1동 1층 11호 (대원동), 2층11호, 3층11호",경상남도 창원시 성산구 대원동 91-10번지 1동 1층 11호,15,"경상남도 창원시 의창구 남면로 219, 1동 1층 11호 (대원동), 2층11호, 3층11호",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,(주)한성산업,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로113번길 25-46 (대원동, 영일전기(주))",경상남도 창원시 성산구 대원동 86-2번지,0,"경상남도 창원시 의창구 남면로113번길 25-46 (대원동, 영일전기(주))",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,KAMES(카메스),계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 1동 1층 6호 (대원동), 2층6호, 3층6호",경상남도 창원시 성산구 대원동 91-10번지 1동 1층 6호,15,"경상남도 창원시 의창구 남면로 219, 1동 1층 6호 (대원동), 2층6호, 3층6호",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,S&T중공업(주) 기계사업본부 소재공장제3공장,계획,창원국가산업단지,경상남도 창원시 의창구 남면로 319 (대원동) (총 3 필지),경상남도 창원시 성산구 대원동 83번지,200,경상남도 창원시 의창구 남면로 319 (대원동) (총 3 필지),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,나무이엔지,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 2층 20 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 2동 2층 20,1,"경상남도 창원시 의창구 남면로 219, 2동 2층 20 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,다윗텍,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 22 (대원동)",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 22,5,"경상남도 창원시 의창구 남면로 219, 2동 1층 22 (대원동)",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,대명기계,계획,창원국가산업단지,"경상남도 창원시 의창구 남면로 219, 2동 1층 26호 (대원동), 2층26호, 3층26호",경상남도 창원시 성산구 대원동 91-10번지 2동 1층 26호,3,"경상남도 창원시 의창구 남면로 219, 2동 1층 26호 (대원동), 2층26호, 3층26호",의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,두산건설(주),계획,창원국가산업단지,경상남도 창원시 의창구 삼동로 101 (대원동),경상남도 창원시 성산구 대원동 82번지,233,경상남도 창원시 의창구 삼동로 101 (대원동),의창구,,0.0,,
경상남도,창원시 의창구,한국산업단지공단 경남지역본부,두산메카텍㈜ 2공장,계획,창원국가산업단지,"경상남도 창원시 의창구 삼동로 101 (대원동, 두산메카텍(주))",경상남도 창원시 성산구 대원동 82번지 두산메카텍(주),30,"경상남도 창원시 의창구 삼동로 101 (대원동, 두산메카텍(주))",의창구,,0.0,,
