adm9,adm_nm,stop_density_500m,qol_transit_z,qol_transit_0_100,z_access_index,area_km2,n_factories,emp_sum,factories_per_km2,emp_per_km2,youth20_39_2024,pop_total,rent_p50,rent_mean,reliability
481253100,경상남도 창원시마산합포구 구산면,3.0678467996636964,-2.0873185214801406,29.84504536488544,-2.0873185214801406,51.77233474163213,13.0,135.0,0.2510993576951089,2.607570252987669,397.0,3919.0,,,
481253200,경상남도 창원시마산합포구 진동면,2.634534145842152,-1.4731371460981997,43.26623069337729,-1.4731371460981997,33.74635181154343,45.0,403.0,1.333477474877954,11.942031608351456,1821.0,11551.0,,,
481253300,경상남도 창원시마산합포구 진북면,2.681078762393489,-1.995579239632248,31.84974617955544,-1.995579239632248,46.57420258438204,241.0,4501.0,5.174538405963299,96.64148284332283,295.0,3110.0,,,
481253400,경상남도 창원시마산합포구 진전면,1.9283367606303825,-3.453089916621255,0.0,-3.453089916621256,78.74277385989463,42.0,634.0,0.5333822767626871,8.051532463512943,297.0,3630.0,,,
481255100,경상남도 창원시마산합포구 현동,3.512251276533782,-0.4110469606436404,66.47518782870796,-0.4110469606436404,19.90898590966753,1.0,1541.0,0.0502285754049589,77.40223469904167,2415.0,13605.0,7.9219479653102e-05,9.3109656483315e-05,low_flag
481255200,경상남도 창원시마산합포구 가포동,6.839656173668292,-0.1145039105341818,72.95529190369764,-0.1145039105341818,5.40383729708286,17.0,407.0,3.145912629378584,75.31684942100492,1728.0,4982.0,8.876479413235538e-05,8.095902193833919e-05,medium_flag
481255300,경상남도 창원시마산합포구 월영동,26.57764295886316,0.2732756502886453,81.42911016164766,0.2732756502886453,2.668567416915512,2.0,9.0,0.749465794764038,3.372596076438171,9406.0,40977.0,7.546234990206922e-05,7.532640270299595e-05,ok
481255400,경상남도 창원시마산합포구 문화동,27.329196710783275,0.4457696215656494,85.19847479781323,0.4457696215656495,1.8641473556479893,2.0,7.0,1.072876558787268,3.755067955755438,2750.0,10762.0,7.9461965971443e-05,8.515777765039965e-05,ok
481255700,경상남도 창원시마산합포구 완월동,20.90499010004404,0.5928913070649926,88.41340036552336,0.5928913070649927,2.4847946471484814,0.0,0.0,0.0,0.0,1502.0,8354.0,,,
481255800,경상남도 창원시마산합포구 자산동,45.94658336930214,0.8843452624848903,94.78229676519015,0.8843452624848904,1.174023379264312,1.0,3.0,0.8517717940392621,2.555315382117786,1464.0,8945.0,6.471083082823975e-05,7.869371374971882e-05,medium_flag
481256400,경상남도 창원시마산합포구 합포동,74.82496429577255,0.9545119041848864,96.315588948705,0.9545119041848864,0.5740587461794749,0.0,0.0,0.0,0.0,1211.0,6555.0,4.541442129886127e-05,9.487979318017732e-05,low_flag
481256500,경상남도 창원시마산합포구 산호동,46.90877475035613,0.7853995953853238,92.62012091808194,0.7853995953853238,0.8730999071986487,23.0,175.0,26.34291884624724,200.4352520910116,2280.0,11414.0,4.53909531140676e-05,9.733182859368956e-05,low_flag
481255650,경상남도 창원시마산합포구 반월중앙동,56.49034717194146,0.7377441760737768,91.57874740836012,0.737744176073777,1.096360503434536,0.0,0.0,0.0,0.0,2325.0,13247.0,7.541666666666668e-05,8.041862620404111e-05,low_flag
481256300,경상남도 창원시마산합포구 오동동,43.22432923462463,1.1231182225964855,100.0,1.123118222596486,1.756387446691896,10.0,146.0,5.6935045959447645,83.12516710079356,3326.0,18197.0,0.0001277061035005,0.0001238041902972,ok
481256100,경상남도 창원시마산합포구 교방동,20.01359093742825,0.7203415793703453,91.19846320418915,0.7203415793703454,2.994766714963993,2.0,11.0,0.667831651128808,3.673074081208444,4294.0,18963.0,8.531569749995576e-05,8.308933381258572e-05,medium_flag
481272500,경상남도 창원시마산회원구 내서읍,3.0022545966959875,-0.4152349408044892,66.38367144585469,-0.4152349408044892,56.23149825086047,299.0,3080.0,5.317304523278012,54.77357167791397,11809.0,59388.0,5.870781559369613e-05,6.829732664696206e-05,ok
481275100,경상남도 창원시마산회원구 회원1동,66.16075187608602,0.7751234501128412,92.39556502027617,0.7751234501128413,0.6794338253312908,0.0,0.0,0.0,0.0,1413.0,9536.0,8.54468180748115e-05,9.900082662156945e-05,ok
481275200,경상남도 창원시마산회원구 회원2동,7.85784979480408,0.4583651772048482,85.47371480561043,0.4583651772048482,4.57652881349598,0.0,0.0,0.0,0.0,2016.0,9505.0,8.271340299666797e-05,8.039958645203972e-05,ok
481275500,경상남도 창원시마산회원구 회성동,4.222936301134099,0.0911551204219646,77.44938449519638,0.0911551204219646,8.51579516003707,6.0,31.0,0.704573077116369,3.640294231767906,760.0,5168.0,,,
481275600,경상남도 창원시마산회원구 양덕1동,42.375177255233496,0.3351659431088593,82.78154630391617,0.3351659431088594,1.0136561828730928,0.0,0.0,0.0,0.0,2001.0,10290.0,8.3649008759246e-05,8.853768513338406e-05,ok
481275700,경상남도 창원시마산회원구 양덕2동,37.8404249659186,0.5675825182005081,87.86034884132388,0.5675825182005081,1.689499857927658,0.0,0.0,0.0,0.0,6831.0,32384.0,8.137480793611274e-05,8.766491621673336e-05,ok
481275800,경상남도 창원시마산회원구 합성1동,12.826841296982654,-0.0547205534902277,74.26168696321463,-0.0547205534902277,4.049660625006455,0.0,0.0,0.0,0.0,1877.0,8605.0,9.4867003814683e-05,9.187740107903736e-05,low_flag
481275900,경상남도 창원시마산회원구 합성2동,27.4928913889544,0.0776990365417504,77.15534009269432,0.0776990365417504,2.5433769971042564,0.0,0.0,0.0,0.0,1882.0,8336.0,9.4867003814683e-05,9.187740107903736e-05,low_flag
481276000,경상남도 창원시마산회원구 구암1동,19.866147917961023,-0.413914359826189,66.41252898332077,-0.413914359826189,3.469521803163684,0.0,0.0,0.0,0.0,1378.0,,0.0001019194836079,0.0001077036222518,low_flag
481276100,경상남도 창원시마산회원구 구암2동,100.74733871746784,-0.1925538009701476,71.24973376338747,-0.1925538009701476,0.763466903338133,0.0,0.0,0.0,0.0,1884.0,8735.0,0.0001019194836079,0.0001077036222518,low_flag
481276200,경상남도 창원시마산회원구 봉암동,7.611203909643477,0.3126503136966406,82.28953132716585,0.3126503136966407,5.643485822481849,494.0,4872.0,87.53455143487052,863.2962238677919,511.0,2840.0,8.137480793611274e-05,8.766491621673336e-05,ok
481275450,경상남도 창원시마산회원구 석전동,24.83168252321836,0.4109723437083476,84.43807936127065,0.4109723437083477,2.091859646223977,6.0,61.0,2.868261267351574,29.16065621807434,3233.0,15821.0,0.0001143078221722,0.0001042520550361,ok
481295400,경상남도 창원시진해구 여좌동,10.840685266256262,-0.0658075530987801,74.01941215247038,-0.0658075530987801,4.69937928600607,2.0,7.0,0.4255881209579423,1.489558423352798,1291.0,7811.0,,,
481295500,경상남도 창원시진해구 태백동,33.57220832153917,0.2937104436847876,81.87565439159684,0.2937104436847876,1.2199159795975612,0.0,0.0,0.0,0.0,563.0,3459.0,6.869127963339035e-05,6.53120439139797e-05,low_flag
481295600,경상남도 창원시진해구 경화동,15.45139642562973,0.4423986561500643,85.12481194610208,0.4423986561500644,3.0384732518894952,11.0,81.0,3.620239208345697,26.65812507963649,1984.0,10466.0,6.869127963339035e-05,6.74859085193962e-05,low_flag
481295700,경상남도 창원시진해구 병암동,25.931486803000062,0.6463410339892486,89.58139197119785,0.6463410339892486,1.2326705180290782,0.0,0.0,0.0,0.0,1271.0,6862.0,6.869127963339035e-05,7.086841544450208e-05,ok
481295800,경상남도 창원시진해구 석동,19.03869598606935,0.834877393593545,93.70131733011137,0.8348773935935452,2.256081129982584,5.0,95.0,2.2162323568738853,42.10841478060382,3951.0,17098.0,6.808679079858907e-05,7.35744209845868e-05,medium_flag
481295900,경상남도 창원시진해구 이동,51.97062559848992,0.8722849398111825,94.51875274999662,0.8722849398111825,0.9033662075415724,10.0,141.0,11.0697078510542,156.0828806998642,1868.0,8221.0,6.999859624050882e-05,7.104197525360643e-05,ok
481296000,경상남도 창원시진해구 자은동,8.635982367820002,0.8922877239323292,94.95585664721064,0.8922877239323292,5.436354491340588,3.0,18.0,0.5518403931860244,3.311042359116146,4158.0,,7.067970314524676e-05,6.935367809961952e-05,ok
481296100,경상남도 창원시진해구 덕산동,19.760472423662147,0.9561100216219572,96.35051125530585,0.9561100216219572,2.4264261599864647,1.0,3.0,0.4121287581261398,1.2363862743784195,2031.0,9248.0,6.488144390704258e-05,6.714387589002497e-05,ok
481296200,경상남도 창원시진해구 풍호동,7.348369550189322,0.4151835556393032,84.53010340831663,0.4151835556393032,8.563916293578602,6.0,172.0,0.700614040856392,20.08426917121657,4591.0,24805.0,6.979110702845628e-05,7.007065126093881e-05,ok
481296300,경상남도 창원시진해구 웅천동,3.4764076584189825,-0.362464412178704,67.5368211064557,-0.362464412178704,28.15885023878012,3.0,24.0,0.1065384408298186,0.852307526638549,3360.0,13886.0,6.25018750562515e-05,6.916801973208942e-05,ok
481296400,경상남도 창원시진해구 웅동1동,1.605484053100429,-0.476174965417599,65.05200070975206,-0.4761749654175991,32.352961683839226,0.0,0.0,0.0,0.0,1585.0,7657.0,4.835315371008816e-05,5.50314291604079e-05,low_flag
481296500,경상남도 창원시진해구 웅동2동,6.413233475667277,-1.662626238167948,39.12548607894767,-1.662626238167948,15.263792758171844,0.0,0.0,0.0,0.0,9930.0,43516.0,4.0640978397412496e-05,4.940230130685446e-05,ok
481295300,경상남도 창원시진해구 충무동,4.688003365346693,-0.3346616851988379,68.14437054769722,-0.3346616851988378,18.11170633439408,1.0,1.0,0.0552129093491872,0.0552129093491872,3720.0,15495.0,,,
