lat,lon,station_id,station_name,nodeno,n_routes,n_routes_dir,avg_nodeord,route_nums_sample,lat_ok,lon_ok,name_ok
35.35184631,128.6807639,CWB379000092,죽동마을,106810,5,5,60.8,"32, 36, 41",True,True,True
35.35184361,128.6811678,CWB379000093,죽동,106811,2,2,93.0,"3, 31",True,True,True
35.35176448,128.6810844,CWB379000094,죽동,106812,2,2,34.5,"3, 31",True,True,True
35.35182952,128.6740606,CWB379000095,산남입구,106805,5,5,106.4,"31, 32, 36",True,True,True
35.35167733,128.6739689,CWB379000096,산남입구,106806,5,5,59.0,"31, 32, 36",True,True,True
35.35106671,128.656843,CWB379000098,봉강,104640,8,8,54.5,"30, 31, 32",True,True,True
35.35095115,128.6567153,CWB379000099,봉강,104637,8,8,105.25,"30, 31, 32",True,True,True
35.35108597,128.6083051,CWB379000100,북면지구대,119352,14,15,67.6,"10, 11, 12",True,True,True
35.35083342,128.6080531,CWB379000101,북면지구대,119351,14,14,82.73,"10, 11, 12",True,True,True
35.34930898,128.6072349,CWB379000102,신한아파트,119350,14,15,66.6,"10, 11, 12",True,True,True
35.34913799,128.6072299,CWB379000103,신한아파트,119349,14,14,83.73,"10, 11, 12",True,True,True
35.34941347,128.5708132,CWB379000104,도태,103403,2,3,68.33,"13, 15",True,True,True
35.3492547,128.5709348,CWB379000105,도태,103404,2,3,70.33,"13, 15",True,True,True
35.34762294,128.7095608,CWB379000108,송등,118005,4,4,74.0,"1, 31, 36",True,True,True
35.34629089,128.7096494,CWB379000109,송등,118008,5,5,79.6,"1, 2, 31",True,True,True
35.34844303,128.5730126,CWB379000110,성심원,103406,2,3,71.33,"13, 15",True,True,True
35.34839435,128.5733144,CWB379000111,성심원,103405,2,3,67.33,"13, 15",True,True,True
35.34781398,128.6077811,CWB379000112,북면행정복지센터,119348,14,15,65.6,"10, 11, 12",True,True,True
35.34780642,128.6076596,CWB379000113,북면행정복지센터,119347,14,14,84.73,"10, 11, 12",True,True,True
35.34750544,128.6093352,CWB379000114,춘광아파트,110302,2,2,75.5,"30, 33",True,True,True
35.34755781,128.6088782,CWB379000115,춘광아파트,110301,2,2,64.5,"30, 33",True,True,True
35.3469807,128.6259833,CWB379000117,북면연동,110308,2,2,80.0,"30, 33",True,True,True
