adm9,yyyymm,pop_total
481235200,202302,34481.0
481235200,202303,34509.0
481235200,202304,34573.0
481235200,202305,34641.0
481235200,202306,34644.0
481235200,202307,34627.0
481235200,202308,34643.0
481235200,202309,34644.0
481235200,202310,34660.0
481235200,202311,34643.0
481235200,202312,34619.0
481235200,202401,34624.0
481235200,202402,34474.0
481235200,202403,34520.0
481235200,202404,34501.0
481235200,202405,35045.0
481235200,202406,36505.0
481235200,202407,37284.0
481235200,202408,37504.0
481235200,202409,37628.0
481235200,202410,37714.0
481235200,202411,37753.0
481235200,202412,37763.0
481235300,202012,28257.0
481235300,202101,28095.0
481235300,202102,28044.0
481235300,202103,27959.0
481235300,202104,27927.0
481235300,202105,27910.0
481235300,202106,27912.0
481235300,202107,27885.0
481235300,202108,27836.0
481235300,202109,27828.0
481235300,202110,27809.0
481235300,202111,27776.0
481235300,202112,27699.0
481235300,202201,27677.0
481235300,202202,27625.0
481235300,202203,27480.0
481235300,202204,27302.0
481235300,202205,27241.0
481235300,202206,27218.0
481235300,202207,27233.0
481235300,202208,27180.0
481235300,202209,27145.0
481235300,202210,27129.0
481235300,202211,27210.0
481235300,202212,27198.0
481235300,202301,27193.0
481235300,202302,27118.0
481235300,202303,27015.0
481235300,202304,26994.0
481235300,202305,26940.0
481235300,202306,26921.0
481235300,202307,26943.0
481235300,202308,26903.0
481235300,202309,26902.0
481235300,202310,26881.0
481235300,202311,26905.0
481235300,202312,26876.0
481235300,202401,26839.0
481235300,202402,26770.0
481235300,202403,26681.0
481235300,202404,26658.0
481235300,202405,26586.0
481235300,202406,26505.0
481235300,202407,26449.0
481235300,202408,26441.0
481235300,202409,26425.0
481235300,202410,26409.0
481235300,202411,26380.0
481235300,202412,26359.0
481235400,202012,45636.0
481235400,202101,45591.0
481235400,202102,45426.0
481235400,202103,45309.0
481235400,202104,45259.0
481235400,202105,45144.0
481235400,202106,45069.0
481235400,202107,45095.0
481235400,202108,44949.0
481235400,202109,44866.0
481235400,202110,44770.0
481235400,202111,44689.0
481235400,202112,44616.0
481235400,202201,44572.0
481235400,202202,44450.0
481235400,202203,44506.0
481235400,202204,45415.0
481235400,202205,45823.0
481235400,202206,46023.0
481235400,202207,46067.0
481235400,202208,46039.0
481235400,202209,46043.0
481235400,202210,46135.0
481235400,202211,46232.0
