lawd_cd,deal_ym,housing_type,aptNm,exclusive_m2,deposit_manwon,rent_manwon,deposit_per_m2_manwon,rent_per_m2_manwon,buildYear,dong,roadAddr
48121,202501,APT,휴먼빌,59.97,2000.0,75.0,33.35000833750208,1.2506253126563283,2014.0,북면 감계리,
48121,202501,APT,벽산블루밍A,59.97,7000.0,50.0,116.7250291812573,0.8337502084375521,2000.0,팔용동,
48121,202501,APT,창원무동STX칸1차,84.99,1000.0,85.0,11.766090128250383,1.0001176609012825,2015.0,북면 무동리,
48121,202501,APT,벽산블루밍C단지,84.905,10000.0,50.0,117.77869383428538,0.5888934691714269,1999.0,팔용동,
48121,202501,APT,창원감계힐스테이트2차,59.2812,21000.0,0.0,354.2438412177891,0.0,2017.0,북면 감계리,
48121,202501,APT,창원무동센텀파라디아,59.9932,7000.0,35.0,116.67989038757726,0.5833994519378862,2018.0,북면 무동리,
48121,202501,APT,창원포레힐스데시앙,84.9332,10000.0,70.0,117.73958828820767,0.8241771180174537,2025.0,북면 감계리,
48121,202501,APT,대경,57.3,1000.0,49.0,17.452006980802793,0.8551483420593369,1990.0,도계동,
48121,202501,APT,힐스테이트아티움시티,84.8615,42000.0,0.0,494.9240821809654,0.0,2020.0,팔용동,
48121,202501,APT,창원감계푸르지오,72.8583,12000.0,40.0,164.70326647753242,0.5490108882584414,2017.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,84.8941,28000.0,0.0,329.82268496868454,0.0,2025.0,북면 감계리,
48121,202501,APT,유일파크,56.42,3000.0,35.0,53.17263381779511,0.6203473945409429,1993.0,도계동,
48121,202501,APT,창원중동유니시티4단지,59.9622,3000.0,155.0,50.031519857510226,2.5849618593046952,2019.0,중동,
48121,202501,APT,창원감계힐스테이트1차,68.4094,22000.0,0.0,321.59323133955274,0.0,2014.0,북면 감계리,
48121,202501,APT,벽산블루밍B,74.01,24000.0,0.0,324.28050263477905,0.0,1999.0,팔용동,
48121,202501,APT,감계아내에코프리미엄2차,59.8956,17535.0,0.0,292.75940135836356,0.0,2019.0,북면 감계리,
48121,202501,APT,성원전원맨션,84.48,4000.0,20.0,47.348484848484844,0.23674242424242423,1991.0,동읍 용정리,
48121,202501,APT,극동,59.34,14300.0,0.0,240.98415908324907,0.0,1994.0,팔용동,
48121,202501,APT,벽산블루밍A,59.97,21000.0,0.0,350.1750875437719,0.0,2000.0,팔용동,
48121,202501,APT,벽산블루밍A,59.97,22000.0,0.0,366.85009171252295,0.0,2000.0,팔용동,
48121,202501,APT,창원감계힐스테이트3차,84.7702,4000.0,90.0,47.186393331618895,1.061693849961425,2014.0,북면 감계리,
48121,202501,APT,대동중앙,59.9,15000.0,0.0,250.41736227045075,0.0,1993.0,팔용동,
48121,202501,APT,벽산블루밍B,59.97,22000.0,0.0,366.85009171252295,0.0,1999.0,팔용동,
48121,202501,APT,명곡두산위브,137.86,45000.0,0.0,326.41810532424194,0.0,2010.0,명서동,
48121,202501,APT,창원포레힐스데시앙,72.8787,23000.0,0.0,315.5928961411222,0.0,2025.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,72.8787,21000.0,0.0,288.1500356071116,0.0,2025.0,북면 감계리,
48121,202501,APT,춘광2,59.81,1000.0,30.0,16.719612104999165,0.5015883631499749,1995.0,북면 신촌리,
48121,202501,APT,벽산블루밍A,59.97,17000.0,0.0,283.4750708687677,0.0,2000.0,팔용동,
48121,202501,APT,휴먼빌2단지,84.99,10000.0,35.0,117.66090128250383,0.41181315448876343,2013.0,북면 무동리,
48121,202501,APT,창원감계힐스테이트4차,84.9743,24000.0,0.0,282.4383372384356,0.0,2017.0,북면 감계리,
48121,202501,APT,감계아내에코프리미엄2차,84.8776,20832.0,0.0,245.43578046504612,0.0,2019.0,북면 감계리,
48121,202501,APT,벽산블루밍A,59.97,22000.0,0.0,366.85009171252295,0.0,2000.0,팔용동,
48121,202501,APT,상아데파트,84.85,9000.0,0.0,106.0695344725987,0.0,1991.0,팔용동,
48121,202501,APT,휴먼빌,59.97,17500.0,0.0,291.8125729531432,0.0,2014.0,북면 감계리,
48121,202501,APT,극동,49.905,14000.0,0.0,280.53301272417593,0.0,1994.0,팔용동,
48121,202501,APT,극동,59.34,16500.0,0.0,278.0586450960566,0.0,1994.0,팔용동,
48121,202501,APT,창원감계힐스테이트4차,78.9805,20000.0,0.0,253.2270623761561,0.0,2017.0,북면 감계리,
48121,202501,APT,벽산블루밍A,59.97,20000.0,10.0,333.50008337502084,0.16675004168751043,2000.0,팔용동,
48121,202501,APT,창원중동유니시티2단지,84.3838,27150.0,75.0,321.74422104716785,0.8887961907380327,2019.0,중동,
48121,202501,APT,창원무동STX칸1차,84.99,10000.0,35.0,117.66090128250383,0.41181315448876343,2015.0,북면 무동리,
48121,202501,APT,창원감계힐스테이트2차,84.8572,26000.0,0.0,306.39710006929283,0.0,2017.0,북면 감계리,
48121,202501,APT,창원중동유니시티4단지,100.3072,30000.0,120.0,299.08122248452753,1.1963248899381103,2019.0,중동,
48121,202501,APT,창원중동유니시티1단지,72.8848,48000.0,0.0,658.5735297345949,0.0,2019.0,중동,
48121,202501,APT,창원포레힐스데시앙,72.9082,21000.0,0.0,288.03344479770453,0.0,2025.0,북면 감계리,
48121,202501,APT,힐스테이트아티움시티,84.8605,41000.0,0.0,483.14586880822054,0.0,2020.0,팔용동,
48121,202501,APT,창원감계힐스테이트2차,84.8572,26000.0,0.0,306.39710006929283,0.0,2017.0,북면 감계리,
48121,202501,APT,창원중동유니시티4단지,84.7171,30000.0,70.0,354.11977038874085,0.8262794642403953,2019.0,중동,
48121,202501,APT,창원감계힐스테이트1차,84.8931,3000.0,70.0,35.33856108446976,0.8245664253042945,2014.0,북면 감계리,
48121,202501,APT,힐스테이트아티움시티,84.8615,10000.0,110.0,117.83906718594415,1.2962297390453856,2020.0,팔용동,
48121,202501,APT,창원감계힐스테이트1차,84.8931,24000.0,0.0,282.7084886757581,0.0,2014.0,북면 감계리,
48121,202501,APT,창원무동센텀파라디아,59.9932,17500.0,0.0,291.69972596894314,0.0,2018.0,북면 무동리,
48121,202501,APT,감계아내에코프리미엄2차,59.8956,23000.0,0.0,384.0014959362624,0.0,2019.0,북면 감계리,
48121,202501,APT,휴먼빌1단지,84.994,17000.0,0.0,200.01411864366898,0.0,2013.0,북면 무동리,
48121,202501,APT,휴먼빌1단지,84.994,17000.0,0.0,200.01411864366898,0.0,2013.0,북면 무동리,
48121,202501,APT,창원감계힐스테이트2차,84.1129,3000.0,100.0,35.66634844358,1.1888782814526666,2017.0,북면 감계리,
48121,202501,APT,감계아내에코프리미엄2차,70.8981,5000.0,75.0,70.52375169433313,1.057856275414997,2019.0,북면 감계리,
48121,202501,APT,명곡두산위브,137.86,44500.0,0.0,322.7912374873059,0.0,2010.0,명서동,
48121,202501,APT,힐스테이트아티움시티,84.6211,43000.0,0.0,508.1474951282836,0.0,2020.0,팔용동,
48121,202501,APT,감계아내에코프리미엄2차,59.8956,13892.0,0.0,231.9369035455025,0.0,2019.0,북면 감계리,
48121,202501,APT,창원감계힐스테이트4차,68.7206,20000.0,0.0,291.03354743701306,0.0,2017.0,북면 감계리,
48121,202501,APT,초원빌라,69.6,6000.0,25.0,86.20689655172414,0.3591954022988506,1992.0,도계동,
48121,202501,APT,창원중동유니시티3단지,84.7171,52000.0,0.0,613.8076020071509,0.0,2019.0,중동,
48121,202501,APT,창원중동유니시티3단지,84.7171,50000.0,0.0,590.1996173145682,0.0,2019.0,중동,
48121,202501,APT,창원무동센텀파라디아,59.9932,17500.0,0.0,291.69972596894314,0.0,2018.0,북면 무동리,
48121,202501,APT,대동차룡,49.98,3000.0,50.0,60.02400960384154,1.0004001600640258,1994.0,팔용동,
48121,202501,APT,힐스테이트아티움시티,84.8615,40000.0,0.0,471.3562687437766,0.0,2020.0,팔용동,
48121,202501,APT,벽산블루밍A,59.97,10000.0,55.0,166.75004168751042,0.9171252292813074,2000.0,팔용동,
48121,202501,APT,창원감계힐스테이트4차,68.9762,19000.0,0.0,275.457331659326,0.0,2017.0,북면 감계리,
48121,202501,APT,감계아내에코프리미엄2차,70.5902,24000.0,0.0,339.99053693005544,0.0,2019.0,북면 감계리,
48121,202501,APT,감계아내에코프리미엄2차,70.8981,24000.0,0.0,338.51400813279906,0.0,2019.0,북면 감계리,
48121,202501,APT,감계아내에코프리미엄2차,59.8956,23000.0,0.0,384.0014959362624,0.0,2019.0,북면 감계리,
48121,202501,APT,창원감계힐스테이트2차,70.1076,3000.0,80.0,42.79136641391233,1.1411031043709954,2017.0,북면 감계리,
48121,202501,APT,대동중앙,59.9,17500.0,0.0,292.1535893155259,0.0,1993.0,팔용동,
48121,202501,APT,국도무궁화맨션,58.97,9000.0,10.0,152.6199762591148,0.16957775139901646,1996.0,도계동,
48121,202501,APT,대동중앙,59.9,12000.0,0.0,200.3338898163606,0.0,1993.0,팔용동,
48121,202501,APT,휴먼빌1단지,84.99,1000.0,85.0,11.766090128250383,1.0001176609012825,2013.0,북면 무동리,
48121,202501,APT,엔에이치에프창원대산1단지,59.92,6044.0,9.0,100.86782376502002,0.15020026702269693,2018.0,대산면 제동리,
48121,202501,APT,감계아내에코프리미엄2차,84.8776,20832.0,0.0,245.43578046504612,0.0,2019.0,북면 감계리,
48121,202501,APT,창원중동유니시티3단지,84.7886,40000.0,25.0,471.76153397980386,0.29485095873737743,2019.0,중동,
48121,202501,APT,감계아내에코프리미엄2차,84.8776,20832.0,0.0,245.43578046504612,0.0,2019.0,북면 감계리,
48121,202501,APT,힐스테이트아티움시티,84.8615,42000.0,0.0,494.9240821809654,0.0,2020.0,팔용동,
48121,202501,APT,창원감계힐스테이트4차,68.9762,20000.0,0.0,289.9550859571852,0.0,2017.0,북면 감계리,
48121,202501,APT,창원무동STX칸1차,84.99,15000.0,0.0,176.49135192375576,0.0,2015.0,북면 무동리,
48121,202501,APT,감계아내에코프리미엄2차,84.5002,20832.0,0.0,246.5319608710985,0.0,2019.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,59.8318,6000.0,60.0,100.28112141035369,1.0028112141035368,2025.0,북면 감계리,
48121,202501,APT,명곡두산위브,137.86,46000.0,0.0,333.671840998114,0.0,2010.0,명서동,
48121,202501,APT,감계아내에코프리미엄2차,59.8956,20000.0,5.0,333.9143442924021,0.08347858607310052,2019.0,북면 감계리,
48121,202501,APT,창원중동유니시티3단지,84.7171,42000.0,0.0,495.76767854423724,0.0,2019.0,중동,
48121,202501,APT,창원무동센텀파라디아,59.9932,500.0,90.0,8.334277884826946,1.5001700192688505,2018.0,북면 무동리,
48121,202501,APT,창원감계힐스테이트4차,68.7206,20000.0,0.0,291.03354743701306,0.0,2017.0,북면 감계리,
48121,202501,APT,창원감계힐스테이트1차,68.8466,23500.0,0.0,341.3385700964173,0.0,2014.0,북면 감계리,
48121,202501,APT,창원감계힐스테이트4차,84.9743,26000.0,0.0,305.9748653416386,0.0,2017.0,북면 감계리,
48121,202501,APT,창원포레힐스데시앙,72.8787,1000.0,105.0,13.721430267005312,1.4407501780355578,2025.0,북면 감계리,
48121,202501,APT,대동중앙,59.66,9500.0,30.0,159.23566878980893,0.5028494803888703,1993.0,팔용동,
48121,202501,APT,봉림휴먼시아2단지,36.81,1741.0,20.0,47.29693018201576,0.5433306166802498,2011.0,봉림동,
48121,202501,APT,휴먼빌2단지,84.994,16700.0,0.0,196.48445772642773,0.0,2013.0,북면 무동리,
48121,202501,APT,성진까치빌라트3,59.66,5000.0,2.0,83.80824673147838,0.03352329869259135,1995.0,동읍 용정리,
48121,202501,APT,창원무동동원로얄듀크,75.7799,18500.0,0.0,244.12806034317808,0.0,2023.0,북면 무동리,
48121,202501,APT,서전파크빌라,81.13,8000.0,25.0,98.60717367188464,0.3081474177246395,1990.0,도계동,
48121,202501,APT,대동중앙,59.9,17000.0,0.0,283.80634390651085,0.0,1993.0,팔용동,
48121,202501,APT,봉림휴먼시아2단지,36.81,3641.0,9.0,98.9133387666395,0.24449877750611246,2011.0,봉림동,
48121,202501,APT,창원포레힐스데시앙,72.9082,20500.0,0.0,281.17550563585445,0.0,2025.0,북면 감계리,
48121,202501,APT,대동차룡,49.98,14000.0,0.0,280.1120448179272,0.0,1994.0,팔용동,
48121,202501,APT,창원중동유니시티4단지,100.3072,30000.0,105.0,299.08122248452753,1.0467842786958463,2019.0,중동,
48121,202501,APT,벽산블루밍C단지,84.905,8000.0,80.0,94.2229550674283,0.942229550674283,1999.0,팔용동,
48121,202501,APT,창원감계힐스테이트3차,84.7732,15000.0,30.0,176.9427130272303,0.3538854260544606,2014.0,북면 감계리,
48121,202501,APT,극동,59.34,3000.0,50.0,50.55611729019211,0.8426019548365352,1994.0,팔용동,
48121,202501,APT,창원의봄,69.2909,10000.0,0.0,144.31909529245544,0.0,2017.0,북면 무동리,
48121,202501,APT,대동중앙,59.9,17000.0,0.0,283.80634390651085,0.0,1993.0,팔용동,
48121,202501,APT,창원중동유니시티3단지,84.7171,10000.0,133.0,118.03992346291362,1.5699309820567513,2019.0,중동,
48121,202501,APT,감계아내에코프리미엄2차,59.8956,3000.0,75.0,50.08715164386032,1.2521787910965079,2019.0,북면 감계리,
