station_id,station_name,lat,lon,nearest_hub_id,nearest_hub_name,dist_km
CWB379003114,가월윗담,35.30256926,128.672971,CWB379000951,신세계백화점,12.141438011412399
CWB379003115,덕천마을,35.27884494,128.6842173,CWB379000951,신세계백화점,11.068839888353763
CWB379003116,북모산마을,35.35754741,128.7129139,CWB379000951,신세계백화점,19.182608323593158
CWB379003117,제1수산교,35.36715568,128.69984547,CWB379000951,신세계백화점,19.393154644944012
CWB379003118,갈전운동장,35.36643926,128.6804893,CWB379000951,신세계백화점,18.450990634203784
CWB379003119,상리,35.36609035,128.6778344,CWB379000951,신세계백화점,18.306388400565336
CWB379003121,어유골,35.35844965,128.5878745,CWB379000951,신세계백화점,15.489417992262554
CWB379003122,어유골,35.35835988,128.5876874,CWB379000951,신세계백화점,15.479383402283744
CWB379003123,삼원효도마을,35.36107065,128.5747633,CWB379000951,신세계백화점,15.819702760053296
CWB379003124,삼원효도마을,35.36091805,128.5748677,CWB379000951,신세계백화점,15.802140904140517
CWB379003125,북면새터,35.29515177,128.5957601,CWB379000951,신세계백화점,8.50171512505886
CWB379003126,중방마을,35.29831782,128.59377713,CWB379000951,신세계백화점,8.837279714225577
CWB379003127,동전회관,35.31643282,128.5966368,CWB379000951,신세계백화점,10.86144493446488
CWB379003128,동전회관,35.31651356,128.5966153,CWB379000951,신세계백화점,10.870219428315771
CWB379003129,북면양촌,35.32889005,128.5894116,CWB379000951,신세계백화점,12.210730254928986
CWB379003130,신동,35.33046039,128.60021456,CWB379000951,신세계백화점,12.440863468091708
CWB379003131,승산,35.3027572,128.6245216,CWB379000951,신세계백화점,9.913615719677718
CWB379003132,승산,35.30286779,128.6246202,CWB379000951,신세계백화점,9.928226727670628
CWB379003133,갈전마을,35.30248347,128.6204405,CWB379000951,신세계백화점,9.763190948309251
CWB379003134,갈전마을,35.30258261,128.6205108,CWB379000951,신세계백화점,9.775637885161307
CWB379003135,화산마을,35.29822726,128.60979754,CWB379000951,신세계백화점,9.04599152382224
CWB379003136,화산마을,35.29812096,128.60982841,CWB379000951,신세계백화점,9.035152561453621
CWB379003137,북면종점,35.35357783,128.6116525,CWB379000951,신세계백화점,15.115182315804718
CWB379003138,북면종점,35.35341769,128.6115508,CWB379000951,신세계백화점,15.096238008325063
CWB379003139,지개리,35.28660414,128.6140812,CWB379000951,신세계백화점,7.908418452627528
CWB379003140,내산,35.37570752,128.59087436,CWB379000951,신세계백화점,17.40791117098474
CWB379003141,동전,35.31770367,128.60378411,CWB379000951,신세계백화점,11.072569112722789
CWB379003142,신전,35.36709605,128.6740781,CWB379000951,신세계백화점,18.255226021592172
CWB379003143,신전입구,35.36642842,128.6718087,CWB379000951,신세계백화점,18.099574273714797
CWB379003144,하옥정,35.3688284,128.667054,CWB379000951,신세계백화점,18.163195820359363
CWB379003145,상옥정,35.37033745,128.66126022,CWB379000951,신세계백화점,18.113715888411917
CWB379003146,죽동당산마을,35.35379865,128.6829137,CWB379000951,신세계백화점,17.328369666842732
CWB379003147,죽동당산마을,35.353786,128.6826713,CWB379000951,신세계백화점,17.316064031248192
CWB379003148,구산마을입구,35.35535874,128.6862284,CWB379000951,신세계백화점,17.63060640694462
CWB379003149,구산마을입구,35.35536333,128.686121,CWB379000951,신세계백화점,17.62604400068868
CWB379003150,부곡,35.30440965,128.71959535,CWB379000951,신세계백화점,15.350303582329794
CWB379003151,용전마을,35.3011471,128.750424,CWB379000951,신세계백화점,17.449284872636532
CWB379003152,진영한방병원,35.30008107,128.75367249,CWB379000951,신세계백화점,17.6413100179322
CWB379003153,신용삼거리,35.29649839,128.7608444,CWB379000951,신세계백화점,18.01240250522401
CWB379003155,전촌입구,35.35739268,128.6560472,CWB379000951,신세계백화점,16.60432111044358
CWB379003156,전촌입구,35.35727224,128.6561347,CWB379000951,신세계백화점,16.594963454934252
CWB379003157,달천,35.35942079,128.6617382,CWB379000951,신세계백화점,17.013004209556915
CWB379003158,달천,35.35951899,128.6616531,CWB379000951,신세계백화점,17.019904625106395
CWB379003159,노옥마을,35.35933781,128.6689229,CWB379000951,신세계백화점,17.27620728744981
CWB379003160,노옥마을,35.35940961,128.668754,CWB379000951,신세계백화점,17.276777597168287
CWB379003161,평리,35.36322551,128.6825561,CWB379000951,신세계백화점,18.224179845779087
CWB379003162,평리,35.36319659,128.6819648,CWB379000951,신세계백화점,18.19576380223967
CWB379003163,본포,35.36671791,128.64653672,CWB379000951,신세계백화점,17.27633619607697
CWB379003164,신촌마을,35.09550118,128.5831201,CWB379001418,"경남대,서중학교",9.576379415853799
CWB379003165,덕동입구,35.13725962,128.572516,CWB379001418,"경남대,서중학교",4.847784906126538
CWB379003166,덕동입구,35.13723556,128.5727044,CWB379001418,"경남대,서중학교",4.854988993479532
CWB379003167,수밭골,35.08668886,128.5756175,CWB379001418,"경남대,서중학교",10.403199451397692
CWB379003168,수밭골,35.08656905,128.5760049,CWB379001418,"경남대,서중학교",10.42176858049525
CWB379003169,안골,35.08294018,128.5985926,CWB379001418,"경남대,서중학교",11.312654996810478
CWB379003170,안골,35.08285105,128.5985232,CWB379001418,"경남대,서중학교",11.319955515433005
CWB379003171,궁개,35.07609092,128.6021612,CWB379001418,"경남대,서중학교",12.137414466138345
CWB379003172,궁개,35.07619535,128.6024015,CWB379001418,"경남대,서중학교",12.13372550469303
CWB379003173,마전,35.12307555,128.536777,CWB379001418,"경남대,서중학교",6.543497575913558
CWB379003174,마전,35.12313096,128.536877,CWB379001418,"경남대,서중학교",6.534908101139419
CWB379003175,하마전마을,35.12433685,128.5354259,CWB379001418,"경남대,서중학교",6.448722744821686
CWB379003176,하마전마을,35.1239831,128.535547,CWB379001418,"경남대,서중학교",6.482363553661534
CWB379003177,상마전종점,35.12982778,128.5320083,CWB379001418,"경남대,서중학교",5.992561151334515
CWB379003178,상마전종점,35.12985555,128.5318642,CWB379001418,"경남대,서중학교",5.9949905143570215
CWB379003179,두산중공업입구,35.18786099,128.5968052,CWB379001173,오동동아구찜거리,2.575334079471135
CWB379003180,두산중공업입구,35.18711918,128.5965453,CWB379001173,오동동아구찜거리,2.625127723052442
CWB379003181,귀산,35.16362791,128.61319453,CWB379001418,"경남대,서중학교",5.301967146103673
CWB379003182,용호,35.16932578,128.5993113,CWB379001418,"경남대,서중학교",3.9033920842191057
CWB379003183,용호입구,35.17215848,128.5952724,CWB379001394,문화동,3.4600228508366033
CWB379003184,용호,35.17057378,128.5967926,CWB379001418,"경남대,서중학교",3.6445521913936
CWB379003185,두산중공업부두,35.17933146,128.5964553,CWB379001312,경동메르빌APT,3.1970599460758744
CWB379003186,코오롱아파트,35.26488205,128.5253187,CWB379000951,신세계백화점,7.5936965432017445
CWB379003187,자이아파트정문,35.27314444,128.52634335,CWB379000951,신세계백화점,8.174617831131753
CWB379003188,자이아파트,35.27631679,128.52284341,CWB379000951,신세계백화점,8.649347491949776
CWB379003190,육호광장,35.21123625,128.5773583,CWB379001139,오동교,0.5096873334794643
CWB379003191,감천입구,35.20768427,128.5126003,CWB379001347,반월민원센터,4.955774812990188
CWB379003192,웅천고등학교,35.11223697,128.7497744,CWB379001114,자유무역지역정문,18.632633787695678
CWB379003193,태백사거리,35.15318065,128.6761699,CWB379001114,자유무역지역정문,10.53220640105165
CWB379003194,영길운동장,35.11444431,128.7815376,CWB379001114,자유무역지역정문,20.935732657711952
CWB379003195,영길운동장,35.11429654,128.7813323,CWB379001114,자유무역지역정문,20.927845946060028
CWB379003196,반월길,35.20602409,128.6356169,CWB379001031,산호동,4.5695038597852715
CWB379003198,고려기업,35.20854696,128.6348363,CWB379001031,산호동,4.448913022582524
CWB379003211,율곡마을,35.16800802,128.5539247,CWB379001418,"경남대,서중학교",1.3180945639295858
CWB379003212,예곡마을,35.17024601,128.5458649,CWB379001418,"경남대,서중학교",1.5138961525177128
CWB379003215,창원기계공구상가,35.23419725,128.6412156,CWB379000951,신세계백화점,5.216178348428379
CWB379003216,오산마을,35.14298583,128.507745,CWB379001418,"경남대,서중학교",6.1203281950352935
CWB379003217,태봉마을,35.14640089,128.5105696,CWB379001418,"경남대,서중학교",5.678050703507171
CWB379003218,화산마을입구,35.29928055,128.6069402,CWB379000951,신세계백화점,9.10457739009332
CWB379003219,화산마을입구,35.29914311,128.6070512,CWB379000951,신세계백화점,9.09164682135726
CWB379003220,옥계리,35.09736772,128.607908,CWB379001418,"경남대,서중학교",10.1611563537536
CWB379003221,옥계리,35.09757687,128.6074677,CWB379001418,"경남대,서중학교",10.122524732181233
CWB379003230,동곡,35.33608826,128.7333271,CWB379000951,신세계백화점,18.61141839300421
CWB379003231,용등,35.32626584,128.7389686,CWB379000951,신세계백화점,18.252911703694803
CWB379003232,신곡,35.3283058,128.7350428,CWB379000951,신세계백화점,18.134494376933823
CWB379003239,부광산업,35.0960146,128.824238,CWB379001114,자유무역지역정문,25.330823805002552
CWB379003240,부광산업,35.09619819,128.8245804,CWB379001114,자유무역지역정문,25.34779073825711
CWB379003241,부산카프링,35.09394438,128.8273472,CWB379001114,자유무역지역정문,25.69122468773949
CWB379003242,부산카프링,35.09338228,128.827504,CWB379001114,자유무역지역정문,25.734831346982148
CWB379003243,(주)태광,35.09063786,128.831487,CWB379001114,자유무역지역정문,26.20201567861077
CWB379003244,(주)태광,35.09031518,128.8312982,CWB379001114,자유무역지역정문,26.2052217974794
CWB379003245,부산항홍보관,35.08687056,128.83105464,CWB379001114,자유무역지역정문,26.381442756044457
CWB379003246,부산항홍보관,35.08705341,128.8308921,CWB379001114,자유무역지역정문,26.358267296038516
CWB379003247,용원사거리,35.09811841,128.821258,CWB379001114,자유무역지역정문,24.978952772112997
CWB379003248,용원사거리,35.09828723,128.8212631,CWB379001114,자유무역지역정문,24.970080569130896
CWB379003249,창원역,35.25617247,128.60685857,CWB379000951,신세계백화점,4.5144992371639665
CWB379003250,휴먼빌2단지,35.31955848,128.5839562,CWB379000951,신세계백화점,11.176851239923668
CWB379003251,휴먼빌1단지,35.31947617,128.5838751,CWB379000951,신세계백화점,11.16790893242378
CWB379003252,신성주유소,35.36213678,128.7079881,CWB379000951,신세계백화점,19.334843568466745
