gu_nm,year,month,yyyymm,youth20_39_persons,youth_pop_year_avg,youth_hh,youth_hh_month,demand_rate_12m,demand_rate_18m,demand_inc_12m,demand_inc_18m,persons_per_youth_household,demand_inc_12m_hh,demand_inc_18m_hh
마산회원구,2023,11,202311,36715,37601.16667,9883,9650.08209,-0.0615202232247846,-0.0908461593304534,-2258.714995697969,-3335.4167398176,3.5,-645.347141627991,-952.9762113764572
마산회원구,2023,12,202312,36528,37601.16667,9883,9600.93146,-0.061373214330311,-0.0906325282992905,-2241.8407730576027,-3310.624993716486,3.5,-640.525935159315,-945.8928553475674
마산회원구,2024,1,202401,36559,36044.33333,9884,10025.13079,-0.0591655163356521,-0.0874223246089254,-2163.032111715107,-3196.072765377704,3.5,-618.0091747757449,-913.1636472507726
마산회원구,2024,2,202402,36518,36044.33333,9884,10013.88786,-0.056310608584184,-0.0832654289702867,-2056.350804277232,-3040.6869351369323,3.5,-587.5288012220662,-868.7676957534093
마산회원구,2024,3,202403,36421,36044.33333,9884,9987.288728,-0.0554264802701666,-0.0819768151414687,-2018.687837919738,-2985.677584267432,3.5,-576.7679536913537,-853.0507383621234
마산회원구,2024,4,202404,36273,36044.33333,9884,9946.704484,-0.0548083404482033,-0.0810755202630018,-1988.062933077681,-2940.8523464998643,3.5,-568.0179808793374,-840.2435275713898
마산회원구,2024,5,202405,36144,36044.33333,9884,9911.33038,-0.0546004343114939,-0.0807723110533265,-1973.4780977546384,-2919.434410711433,3.5,-563.8508850727538,-834.1241173461237
마산회원구,2024,6,202406,35992,36044.33333,9884,9869.649265,-0.0545107938945569,-0.0806415696565199,-1961.952493852893,-2902.451375077465,3.5,-560.5578553865408,-829.2718214507042
마산회원구,2024,7,202407,35850,36044.33333,9884,9830.710329,-0.0542878016941033,-0.0803163065354826,-1946.2176907336036,-2879.339589297052,3.5,-556.0621973524582,-822.668454084872
마산회원구,2024,8,202408,35757,36044.33333,9884,9805.208068,-0.0530538608663594,-0.0785157502634851,-1897.0469029984145,-2807.4876821714374,3.5,-542.0134008566898,-802.1393377632678
마산회원구,2024,9,202409,35793,36044.33333,9884,9815.079911,-0.0508314623462248,-0.0752698850949881,-1819.410531758425,-2694.1349972049093,3.5,-519.8315805024071,-769.7528563442598
마산회원구,2024,10,202410,35853,36044.33333,9884,9831.532983,-0.0497562287296654,-0.0736981161151896,-1783.9100686446957,-2642.2985570778933,3.5,-509.6885910413416,-754.9424448793981
마산회원구,2024,11,202411,35777,36044.33333,9884,9810.692425,-0.0492434760632741,-0.072948264589405,-1761.78384311576,-2609.870062215145,3.5,-503.36681231878856,-745.6771606328986
마산회원구,2024,12,202412,35595,36044.33333,9884,9760.784774,-0.0485827351753636,-0.0719816963107412,-1729.302458567067,-2562.188480180834,3.5,-494.0864167334477,-732.0538514802383
성산구,2020,1,202001,64420,62987.75,18261,18676.22863,,,,,3.4493045291018154,0.0,0.0
성산구,2020,2,202002,63935,62987.75,18261,18535.62058,,,,,3.44930452822206,0.0,0.0
성산구,2020,3,202003,63687,62987.75,18261,18463.72203,,,,,3.4493045279018424,0.0,0.0
성산구,2020,4,202004,63585,62987.75,18261,18434.15085,,,,,3.449304528176843,0.0,0.0
성산구,2020,5,202005,63381,62987.75,18261,18375.00849,,,,,3.4493045287294994,0.0,0.0
성산구,2020,6,202006,63123,62987.75,18261,18300.2108,,,,,3.4493045293226894,0.0,0.0
성산구,2020,7,202007,62907,62987.75,18261,18237.58948,,,,,3.4493045294711835,0.0,0.0
성산구,2020,8,202008,62620,62987.75,18261,18154.3843,,,,,3.4493045297052567,0.0,0.0
성산구,2020,9,202009,62357,62987.75,18261,18078.13705,,,,,3.4493045288646043,0.0,0.0
성산구,2020,10,202010,62186,62987.75,18261,18028.56184,,,,,3.4493045286633914,0.0,0.0
성산구,2020,11,202011,61970,62987.75,18261,17965.94052,,,,,3.449304528811832,0.0,0.0
성산구,2020,12,202012,61682,62987.75,18261,17882.44543,,,,,3.4493045283684114,0.0,0.0
성산구,2021,1,202101,61441,66345.41667,22889,21196.98872,,,,,2.898572094914055,0.0,0.0
성산구,2021,2,202102,61167,66345.41667,22889,21102.45942,,,,,2.8985720944938085,0.0,0.0
성산구,2021,3,202103,60850,66345.41667,22889,20993.09523,,,,,2.898572093982732,0.0,0.0
