순번,정류소 아이디,정류소명,방면,X좌표,Y좌표
254,409701,교도소,교도소입구 방면,128.558855,35.23595848
255,407209,교도소입구,한효국화맨션 방면,128.561141,35.23362342
256,407210,교도소입구,보문주유소 방면,128.5612438,35.23341969
257,301602,교동마을입구,교동마을회관 방면,128.4971136,35.11860781
258,301601,교동마을입구,야촌마을회관 방면,128.4974822,35.11861242
259,301603,교동마을회관,,128.501035,35.11765271
260,319502,교방동,,128.5670669,35.2106736
261,322504,구)가야백화점,어시장복국거리 방면,128.5851781,35.21069881
262,322505,구)가야백화점,용마고등학교 방면,128.585224,35.21085365
263,422809,구미동,현대아파트 방면,128.5209052,35.25353844
264,422810,구미동,동서병원 방면,128.5209403,35.25311314
265,518157,구민회관(164),여좌검문소 방면,128.6579639,35.16976007
266,518158,구민회관(164),경화동 방면,128.6580322,35.16941513
267,322147,구복,구복연륙교종점 방면,128.5666532,35.07143306
268,322148,구복,연까치 방면,128.5666564,35.07123753
269,322149,구복연륙교종점,,128.5615196,35.06566438
270,116608,구산마을입구,송정종점 방면,128.6862284,35.35535874
271,116609,구산마을입구,죽동당산마을 방면,128.686121,35.35536333
272,301820,구산면사무소,수정 방면,128.5803154,35.11956662
273,301817,구산면사무소,수정주유소 방면,128.5801857,35.11960155
274,630129,구성삼거리,,128.5284192,35.30106844
275,422804,구슬골,중리삼거리 방면,128.5282542,35.24522344
276,422803,구슬골,마재고개 방면,128.5290676,35.24447614
277,630392,구실공원,화촌윗마을 방면,128.8021836,35.17808348
278,420617,구암2동주민센터,,128.5982382,35.24864244
279,420614,구암고등학교,창신대학교입구 방면,128.5947068,35.24651911
280,420615,구암고등학교,삼성창원병원 방면,128.5939782,35.24629644
281,400123,구암동,덕재.롯데캐슬 방면,128.5920785,35.24728401
282,400126,구암동,KT동마산지점 방면,128.5918093,35.24680313
283,400131,구암동,,128.5911325,35.24644428
284,400125,구암동육교,,128.5947137,35.24875251
285,402509,구암동주민센타,석보아파트 방면,128.5936417,35.2509249
286,402506,구암동주민센타,유성아파트 방면,128.5936932,35.25074443
287,402201,구암동현대상가,,128.5917209,35.24871031
288,401905,구암동현대상가,,128.5915992,35.2486822
289,401902,구암여중,,128.5967508,35.25683837
290,401906,구암여중,,128.5968139,35.25689352
291,402002,구암중학교,,128.5967409,35.25502295
292,401903,구암중학교,,128.5966805,35.25513564
293,401901,구암한우아파트,,128.5959526,35.25771784
294,401907,구암한우아파트,,128.5960072,35.25777611
295,308101,국군마산병원,임곡삼거리 방면,128.435441,35.10606255
296,308102,국군마산병원,진목마을 방면,128.4348966,35.10592609
297,300626,국립마산병원,청량산터널앞 방면,128.5662868,35.16808271
298,300625,국립마산병원,가포고등학교 방면,128.5662876,35.16795642
299,217401,국민은행,중앙동 방면,128.6803582,35.22154643
300,208001,국방기술품질원,경상대병원정문 방면,128.7120228,35.19809208
301,208002,국방기술품질원,프리빌리지2차아파트 방면,128.7120417,35.19787676
302,630356,국제물류,,128.7652884,35.09083148
303,422702,국제아파트,호계 방면,128.5214149,35.26291181
304,422701,국제아파트,호계농협 방면,128.5212068,35.26282554
305,407219,국제주유소,석전사거리 방면,128.5710904,35.22228848
306,407218,국제주유소,동중입구 방면,128.5707652,35.22081443
307,630089,군농협,,128.4030269,35.27715037
308,309201,군령,,128.5453282,35.11798143
309,309202,군령,,128.5453375,35.11780732
310,322119,군령삼거리,,128.5409056,35.1185428
311,322118,군령삼거리,마전 방면,128.5403527,35.11838219
312,322117,군령삼거리,드라마세트장 방면,128.5407961,35.11836148
313,119310,굴현고개,대동농원 방면,128.6160901,35.27730647
314,119309,굴현고개,천주암 방면,128.6161063,35.27675083
315,315301,궁개,윗용호 방면,128.6021612,35.07609092
316,315302,궁개,난포리 방면,128.6024015,35.07619535
317,202303,귀산,석교종점 방면,128.6130527,35.16363483
318,216003,귀산,삼귀민원센터 방면,128.6131945,35.16362791
319,107603,극동아파트,창원웨딩의전당 방면,128.6136884,35.25471506
320,107604,극동아파트,팔룡중학교 방면,128.6136132,35.25454874
321,302401,근곡마을,,128.445919,35.11421248
322,523205,글로벌물류센터,,128.8128627,35.08301142
323,523204,글로벌물류센터,,128.8127569,35.0833043
324,402505,금강테니스장,합성북18길 방면,128.5860753,35.24635895
325,402504,금강테니스장,강남맨션 방면,128.585867,35.24612714
326,104627,금동,용산 방면,128.6669378,35.33319449
327,104630,금동,양교 방면,128.6670842,35.33312544
328,630380,금병초등학교,,128.7352532,35.31021496
329,630381,금병초등학교,,128.7354602,35.31012637
330,321405,금산1반,학동 방면,128.4456952,35.14875388
331,321406,금산1반,대밭골교 방면,128.4455914,35.14864435
332,321411,금산1반,,128.4461196,35.15139954
333,321412,금산1반,,128.4462292,35.15139373
