정류소ID,서비스ID,정류소명,방면,유형,설치유형,관할관청,X좌표,Y좌표,방위각,동코드,수정일,생성일
379001975,322022,가포신항,완암사거리,0,,379,128.5761707,35.16981189,,,2024.7.31 16:43,2024.7.31 16:24
379001976,322023,가포신항,마산합포스포츠센터,0,,379,128.5778268,35.1686097,,,2024.7.31 16:43,2024.7.31 16:25
379001497,300618,가포초등학교,가포동 방면,0,,379,128.5768516,35.15874478,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379001498,300617,가포초등학교,금호어울림아파트 방면,0,,379,128.5768204,35.15854916,0,가포동,2023.5.26 17:48,2023.5.26 17:48
379005563,322164,갈밭굼,미리마을 방면,0,,379,128.5483702,35.10497401,,,2024.9.6 11:18,2023.5.26 17:48
379005564,322163,갈밭굼,명주 방면,0,,379,128.5484753,35.10487353,,,2024.9.6 11:18,2023.5.26 17:48
379002194,103706,갈전,,0,,379,128.675862,35.36340332,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379003278,103727,갈전리,신전 방면,0,,379,128.6788298,35.36320356,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379003279,103728,갈전리,평리 방면,0,,379,128.6788137,35.36310782,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379003133,100709,갈전마을,승산 방면,0,,379,128.6204405,35.30248347,0,북면,2023.5.26 17:48,2023.5.26 17:48
379003134,100710,갈전마을,화산마을 방면,0,,379,128.6205108,35.30258261,0,북면,2023.5.26 17:48,2023.5.26 17:48
379000041,100703,갈전운동장,일동회관 방면,0,,379,128.6809755,35.36653344,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379003118,100707,갈전운동장,상리 방면,0,,379,128.6804893,35.36643926,0,대산면,2023.5.26 17:48,2023.5.26 17:48
379006032,,감계로(가상),,0,,,128.6001098,35.29584369,,,,2024.3.28 15:46
379006033,,감계로(가상),,0,,,128.6001402,35.29571262,,,,2024.3.28 15:47
379000216,119404,감계리,감나무골 방면,0,,379,128.5997989,35.30733699,0,북면,2023.11.1 13:09,2023.5.26 17:48
379000217,119403,감계리,1366경남센터 방면,0,,379,128.5997304,35.30754373,0,북면,2023.11.1 13:09,2023.5.26 17:48
379003333,103114,감계아내2차아파트,감계입구 방면,0,,379,128.5965079,35.30222893,0,북면,2023.5.26 17:48,2023.5.26 17:48
379000230,119324,감계입구,감나무골 방면,0,,379,128.6010192,35.30317206,0,북면,2023.11.1 13:00,2023.5.26 17:48
379000231,119323,감계입구,화천리 방면,0,,379,128.6007906,35.3033396,0,북면,2024.9.13 11:46,2023.5.26 17:48
379003325,103108,감계중학교,천수림아파트정문 방면,0,,379,128.5865042,35.30050134,0,북면,2023.5.26 17:48,2023.5.26 17:48
379003287,103104,감계휴먼빌,감계아내2차아파트 방면,0,,379,128.5938615,35.30221691,0,북면,2023.5.26 17:48,2023.5.26 17:48
379003330,103105,감계휴먼빌,덕산아내 방면,0,,379,128.592914,35.30234189,0,북면,2023.5.26 17:48,2023.5.26 17:48
379000213,119326,감나무골,대천 방면,0,,379,128.6007584,35.30757175,0,북면,2023.11.1 16:46,2023.5.26 17:48
379000214,119325,감나무골,감계입구 방면,0,,379,128.6006924,35.30697317,0,북면,2023.11.1 11:58,2023.5.26 17:48
379001252,401306,감나무골,,0,,379,128.5094787,35.20195738,0,내서읍,2023.5.26 17:48,2023.5.26 17:48
379001253,401305,감나무골,신감삼거리 방면,0,,379,128.5095373,35.20186202,0,내서읍,2023.5.26 17:48,2023.5.26 17:48
379006034,,감나무골(가상),,0,,,128.6007534,35.30744966,,,2024.3.28 16:30,2024.3.28 16:29
379006035,,감나무골(가상),,0,,,128.6006745,35.30707219,,,,2024.3.28 16:32
379005609,640429,감분,,0,,385,128.8560453,35.2701003,,,2024.9.6 15:44,2023.5.26 17:48
379005749,640568,감분마을,,0,,385,128.8606451,35.2711088,,,2024.9.6 15:08,2023.5.26 17:48
379005750,640569,감분마을,,0,,385,128.8610423,35.27153976,,,2024.9.6 15:08,2023.5.26 17:48
379001234,400806,감천,감천마을회관 방면,0,,379,128.5193296,35.20323334,0,내서읍,2023.12.14 15:32,2023.5.26 17:48
379001235,400805,감천,감천 방면,0,,379,128.519238,35.20317816,0,내서읍,2023.12.14 15:32,2023.5.26 17:48
379003098,301301,감천교,전안마을 방면,0,,379,128.5093991,35.21011466,0,내서읍,2023.8.18 15:07,2023.5.26 17:48
379003099,301302,감천교,,0,,379,128.5093804,35.20999323,0,내서읍,2023.8.18 15:07,2023.5.26 17:48
379001209,400804,감천마을회관,감천초등학교 방면,0,,379,128.5181775,35.20489708,0,내서읍,2023.12.14 15:31,2023.5.26 17:48
379001981,630079,감천입구,감천 방면,0,,379,128.5133072,35.20771943,0,내서읍,2023.5.26 17:48,2023.5.26 17:48
379003191,401014,감천입구,쌀재터널입구 방면,0,,379,128.5126003,35.20768427,0,내서읍,2023.5.26 17:48,2023.5.26 17:48
