adm_cd,adm_nm,area_km2,n_routes,stops_density,routes_density,mean_dist_km,p10_dist_km,p90_dist_km,BPH_mean,BPH_median,headway_mean_s_mean,headway_mean_s_median,headway_cv_mean,headway_cv_median,n_stops_with_b1b2,adm_key,tot_2024_12,m_2024_12,f_2024_12,youth_20_34,youth_share_2034
3811353,경상남도 창원시마산합포구 월영동,2.6714182333585303,492,14.598986977403706,184.17183571493908,0.4729579495998264,0.2319713402699202,0.8033419952015588,39.568345323741006,39.568345323741006,90.98181818181818,90.98181818181818,0.1899999999999999,0.1899999999999999,1,경상남도창원시마산합포구월영동,40977.0,20271.0,20706.0,6583.0,0.16065109695682944
3811354,경상남도 창원시마산합포구 문화동,1.8661360792897708,332,10.1814654412722,177.9077119211774,0.3390336600370657,0.0,0.7451902035466083,43.364188084479856,43.41898269533298,83.01814092953524,82.91304347826087,0.0734722638680659,0.074551724137931,3,경상남도창원시마산합포구문화동,10762.0,5382.0,5380.0,2319.0,0.21548039397881436
3811357,경상남도 창원시마산합포구 완월동,2.487444373383868,171,6.432304646167396,68.74525590591405,0.5399432170500814,0.1609974042790909,0.9001530497699713,43.42349977696047,43.42349977696047,82.90517241379311,82.90517241379311,0.0821551724137931,0.0821551724137931,2,경상남도창원시마산합포구완월동,8354.0,4043.0,4311.0,1187.0,0.14208762269571462
3811358,경상남도 창원시마산합포구 자산동,1.1752778126279246,26,12.76293982480615,22.122429029663994,0.5851816017889185,0.3474337214537932,0.7755358684529482,,,,,,,0,경상남도창원시마산합포구자산동,8945.0,4331.0,4614.0,1155.0,0.1291224147568474
3811364,경상남도 창원시마산합포구 합포동,0.5746745141103851,206,17.401154487388965,358.4637824402127,0.2971800517524438,0.0,0.5365692023222945,41.2047564473389,41.2047564473389,87.86896551724138,87.86896551724138,0.1060832083958021,0.1060832083958021,2,경상남도창원시마산합포구합포동,6555.0,3290.0,3265.0,819.0,0.12494279176201373
3811365,경상남도 창원시마산합포구 산호동,0.8740368986015506,209,11.441164573257591,239.1203395810837,0.3373163280258145,0.0,0.707007824987228,44.38696676138626,44.38696676138626,81.105,81.105,0.0375999999999999,0.0375999999999999,2,경상남도창원시마산합포구산호동,11414.0,5666.0,5748.0,1734.0,0.15191869633783073
3811366,경상남도 창원시마산합포구 반월중앙동,1.0975326423696536,464,17.31155800430464,422.7664691577554,0.1584706756874459,0.0,0.3419328594573931,42.383697907707365,42.50838863625351,84.94291519624802,84.6896551724138,0.1166322900088417,0.1196206896551724,6,경상남도창원시마산합포구반월중앙동,13247.0,6381.0,6866.0,1757.0,0.1326338038801238
3811367,경상남도 창원시마산합포구 오동동,1.7582690430536652,538,17.06223522419393,305.98275168721113,0.3187700649284116,0.0,0.6563977862139205,43.65186210171263,43.81828181111335,82.49254310344827,82.16508620689655,0.0672779556650246,0.0605523399014778,4,경상남도창원시마산합포구오동동,18197.0,9034.0,9163.0,2486.0,0.1366159257020388
3811368,경상남도 창원시마산합포구 교방동,2.9979627437968417,102,5.670517432271337,34.02310459362803,1.1551082436850624,0.7703119330388647,1.6371596850517671,,,,,,,0,경상남도창원시마산합포구교방동,18963.0,9387.0,9576.0,2832.0,0.14934345831355797
3811411,경상남도 창원시마산회원구 내서읍,56.291028810809806,894,2.860136035905645,15.881749168320786,6.897095914759984,5.290409105166813,8.327795464567632,,,,,,,0,경상남도창원시마산회원구내서읍,59388.0,29759.0,29629.0,9269.0,0.1560753014076918
3811451,경상남도 창원시마산회원구 회원1동,0.6801615568741045,140,19.11310609753596,205.8334502811565,1.3332844619153126,1.0263878595091842,1.5529642043435423,,,,,,,0,경상남도창원시마산회원구회원동,19041.0,9344.0,9697.0,2526.0,0.13266109973215692
3811452,경상남도 창원시마산회원구 회원2동,4.581405974927724,31,2.401009659523469,6.766481767747958,1.891082766372005,1.7250479090323547,2.0648124703374267,,,,,,,0,경상남도창원시마산회원구회원동,19041.0,9344.0,9697.0,2526.0,0.13266109973215692
3811455,경상남도 창원시마산회원구 회성동,8.524874029080655,264,2.8152908674227324,30.96819954165005,3.8797803592926505,2.8579009113664644,4.773274237343856,,,,,,,0,경상남도창원시마산회원구회성동,5168.0,2617.0,2551.0,581.0,0.11242260061919504
3811456,경상남도 창원시마산회원구 양덕1동,1.014745017843892,171,10.840161623431824,168.5152397824402,1.623451709148941,1.4218853000466625,1.8703435482773627,,,,,,,0,경상남도창원시마산회원구양덕동,42674.0,21081.0,21593.0,6172.0,0.14463139147958945
3811457,경상남도 창원시마산회원구 양덕2동,1.6913129294304254,340,13.598902722127,201.02725763144247,0.7894750155926712,0.4193291888436707,1.2423883740490247,,,,,,,0,경상남도창원시마산회원구양덕동,42674.0,21081.0,21593.0,6172.0,0.14463139147958945
3811458,경상남도 창원시마산회원구 합성1동,4.053998860361071,161,3.9467203990715856,39.71387401565783,2.6497389839197854,2.1989034316310043,2.993624371013211,,,,,,,0,경상남도창원시마산회원구합성동,16941.0,8511.0,8430.0,2805.0,0.1655746414025146
