adm_cd_x,adm_nm,area_km2,n_routes,stops_density,routes_density,mean_dist_km,BPH_mean,headway_cv_mean,n_stops_from_density,adm7,adm_cd_y,small_proxy_share,youth_20_34,total_pop,small_share_ready,adm_nm_norm,bjd7,total_units,small_units,small_share_stock,small_share_final,sig5,sig_mean,small_share_final_vis,adm7_4812,sig_mean2,adm7_stock,total_units_stock2,small_units_stock2,small_share_stock2,small_share_final_new
3811555,경상남도 창원시진해구 태백동,1.2212482303017085,89,12.282515239587502,72.87625708821918,10.420662878087164,,,15,3811555,3811555,,,,,경상남도창원시진해구태백동,3811555,,,,,0000n,,,0000nan,,,,,,
3811556,경상남도 창원시진해구 경화동,3.041796269108699,86,7.5613216550954,28.272767927748017,10.87674727916638,,,23,3811556,3811556,,,,,경상남도창원시진해구경화동,3811556,,,,,0000n,,,0000nan,,,,,,
3811557,경상남도 창원시진해구 병암동,1.2340210279149075,46,4.862153775562512,37.27651227931259,11.44609069566402,,,6,3811557,3811557,,,,,경상남도창원시진해구병암동,3811557,,,,,0000n,,,0000nan,,,,,,
3811558,경상남도 창원시진해구 석동,2.258558045753931,49,5.313124461228656,21.69525821668368,12.349618404304929,,,12,3811558,3811558,,,,,경상남도창원시진해구석동,3811558,,,,,0000n,,,0000nan,,,,,,
3811559,경상남도 창원시진해구 이동,0.9043570181954024,73,14.37485388894402,80.72033337637797,12.17853695326838,,,13,3811559,3811559,,,,,경상남도창원시진해구이동,3811559,,,,,0000n,,,0000nan,,,,,,
3811560,경상남도 창원시진해구 자은동,5.442345525754507,71,4.40986333675915,13.045845704579152,13.35213828062649,,,24,3811560,3811560,,,,,경상남도창원시진해구자은동,3811560,,,,,0000n,,,0000nan,,,,,,
3811561,경상남도 창원시진해구 덕산동,2.429091722651452,68,7.821853667699599,27.994002600188043,13.29414009653829,,,19,3811561,3811561,,,,,경상남도창원시진해구덕산동,3811561,,,,,0000n,,,0000nan,,,,,,
3811562,경상남도 창원시진해구 풍호동,8.573330392505488,217,5.598757752525198,25.31105067287433,14.545672501165962,,,48,3811562,3811562,,,,,경상남도창원시진해구풍호동,3811562,,,,,0000n,,,0000nan,,,,,,
3811563,경상남도 창원시진해구 웅천동,28.190019591824544,212,2.8733573503258936,7.520392077396166,18.46443414541859,,,81,3811563,3811563,,,,,경상남도창원시진해구웅천동,3811563,,,,,0000n,,,0000nan,,,,,,
3811564,경상남도 창원시진해구 웅동1동,32.38898567667505,141,1.4202358931273027,4.353331759368471,20.779671658904387,,,46,3811564,3811564,,,,,경상남도창원시진해구웅동1동,3811564,,,,,0000n,,,0000nan,,,,,,
3811565,경상남도 창원시진해구 웅동2동,15.280903209250994,265,5.431616106942694,17.341906847467637,24.28738489842086,,,83,3811565,3811565,,,,,경상남도창원시진해구웅동2동,3811565,,,,,0000n,,,0000nan,,,,,,
3811566,경상남도 창원시진해구 충무동,18.13138630153564,267,2.592190096132877,14.725845865265494,9.99374388013576,,,47,3811566,3811566,,,,,경상남도창원시진해구충무동,3811566,,,,,0000n,,,0000nan,,,,,,
