adm9,yyyymm,year,rent_p50,rent_mean,n_obs,reliability
481213100,202210,2022,7.35380633015649e-05,7.650948277410945e-05,147,ok
481213100,202211,2022,7.362200225931201e-05,7.936398467691008e-05,137,ok
481213100,202212,2022,7.353789074972537e-05,7.564069676444914e-05,132,ok
481213100,202301,2023,7.9180259547368e-05,8.074712433867772e-05,132,ok
481213100,202302,2023,7.07764442302935e-05,7.549711912784797e-05,152,ok
481213100,202303,2023,7.3964321977936e-05,7.85552669301581e-05,83,ok
481213100,202304,2023,7.518244272768576e-05,7.6629385456992e-05,77,ok
481213100,202305,2023,6.874288752485713e-05,7.217525965148326e-05,86,ok
481213100,202306,2023,7.275838685925325e-05,7.702683985810929e-05,85,ok
481213100,202307,2023,6.765183424712332e-05,7.46915308931146e-05,87,ok
481213100,202308,2023,7.890504176347589e-05,8.21935260480076e-05,74,ok
481213100,202309,2023,7.3628767289507e-05,7.610177285527973e-05,96,ok
481213100,202310,2023,7.9631965595492e-05,8.218731201947977e-05,100,ok
481213100,202311,2023,7.35769794259935e-05,7.545305740849043e-05,92,ok
481213100,202312,2023,7.6599275017323e-05,8.391106647389588e-05,77,ok
481213100,202401,2024,7.639630620221576e-05,7.914839411315855e-05,115,ok
481213100,202402,2024,7.3590015306723e-05,8.046306677772637e-05,71,ok
481213100,202403,2024,7.639630620221576e-05,8.029508053234075e-05,102,ok
481213100,202404,2024,6.54414543150386e-05,7.125443876326298e-05,120,ok
481213100,202405,2024,6.471189675275701e-05,7.057230977545808e-05,103,ok
481213100,202406,2024,6.484800326585349e-05,7.141857658608602e-05,110,ok
481213100,202407,2024,7.275838685925325e-05,7.669700139467481e-05,91,ok
481213100,202408,2024,7.50085009634425e-05,7.971587163057374e-05,83,ok
481213100,202409,2024,7.064641469445425e-05,7.805298606263393e-05,65,ok
481213100,202410,2024,7.200836119942599e-05,7.669655082732552e-05,103,ok
481213100,202411,2024,7.354394750962525e-05,7.786457692977956e-05,87,ok
481213100,202412,2024,7.248877148929625e-05,7.7826126291794e-05,117,ok
481215100,202001,2020,7.7029003197296e-05,7.621837932972436e-05,181,ok
481215100,202002,2020,8.066614099231449e-05,7.612529660214083e-05,194,ok
481215100,202003,2020,8.25582684464655e-05,8.068906006541011e-05,129,ok
481215100,202004,2020,7.13787887385655e-05,7.207719455293177e-05,116,ok
481215100,202005,2020,7.97549926625405e-05,7.67870679497991e-05,95,ok
481215100,202006,2020,8.389261744966426e-05,7.641216450808811e-05,65,ok
481215100,202007,2020,6.185669041963575e-05,7.174418884164219e-05,53,ok
481215100,202008,2020,6.0579196217494086e-05,7.236262788374411e-05,59,ok
481215100,202009,2020,6.326611879297552e-05,7.644796253955069e-05,44,ok
481215100,202010,2020,5.914355225233978e-05,7.428410337518765e-05,65,ok
481215100,202011,2020,6.771876104110225e-05,8.091551722319854e-05,46,ok
481215100,202012,2020,7.650199826565618e-05,8.421766578365263e-05,50,ok
481215100,202101,2021,7.9473660662775e-05,8.619789102214509e-05,79,ok
481215100,202102,2021,9.662241640060476e-05,9.665712661643972e-05,55,ok
481215100,202103,2021,0.0001008233910267,9.178894701063373e-05,50,ok
481215100,202104,2021,0.0001218282641572,9.920158870681554e-05,59,ok
481215100,202105,2021,8.828447810937238e-05,9.957969479016417e-05,74,ok
481215100,202106,2021,9.385261318566726e-05,0.0001007868287802,86,ok
481215100,202107,2021,0.0001249555543242,0.0001087721936962,100,ok
481215100,202108,2021,8.93486708745892e-05,0.0001066850185236,92,ok
481215100,202109,2021,8.333333333333333e-05,9.757322404612318e-05,69,ok
481215100,202110,2021,0.00014699676089069798,0.0001239828164876,137,ok
481215100,202111,2021,0.0001416479081554,0.0001225840083582,101,ok
481215100,202112,2021,0.0001258389261744,0.0001177967620812,120,ok
481215100,202201,2022,9.823567267049836e-05,0.0001110168913215,136,ok
481215100,202202,2022,9.753313534358874e-05,0.0001088276488029,103,ok
481215100,202203,2022,0.0001148913739814,0.0001106412063171,98,ok
481215100,202204,2022,0.0001268929177226,0.0001228979392802,107,ok
481215100,202205,2022,0.0001258389261744,0.0001191872592695,85,ok
481215100,202206,2022,0.0001294120763395,0.0001161001612972,96,ok
481215100,202207,2022,0.0001237416107382,0.0001127414625298,62,ok
481215100,202208,2022,0.0001333194286107,0.0001260765705568,69,ok
481215100,202209,2022,0.0001369517728112,0.0001242178415606,87,ok
481215100,202210,2022,0.000126785912257,0.0001200834311771,65,ok
481215100,202211,2022,0.0001167419441454,0.0001126686507255,70,ok
481215100,202212,2022,0.0001252361560018,0.0001216747435291,80,ok
481215100,202301,2023,0.0001030944840327,0.0001059861185222,57,ok
481215100,202302,2023,0.0001180399234629,0.0001166141528427,84,ok
481215100,202303,2023,0.0001180399234629,0.0001122541355693,94,ok
481215100,202304,2023,0.0001212340121113,0.0001147874554835,82,ok
481215100,202305,2023,0.0001257015441461,0.0001188766107999,80,ok
481215100,202306,2023,0.0001278193074928,0.0001143971790836,79,ok
481215100,202307,2023,0.0001372028186947,0.0001347439040572,83,ok
481215100,202308,2023,0.0001367369335969,0.0001249483695408,88,ok
481215100,202309,2023,0.0001348637044715,0.0001182543357623,68,ok
481215100,202310,2023,0.0001440629596294,0.00013512455913138198,85,ok
481215100,202311,2023,0.0001432702752307,0.0001325560323257,100,ok
481215100,202312,2023,0.0001462073805485,0.0001317257646614,111,ok
481215100,202401,2024,0.0001362820825798,0.0001276819732965,108,ok
481215100,202402,2024,0.0001356886765007,0.0001269088668208,104,ok
481215100,202403,2024,0.0001299956027732,0.0001220102062384,86,ok
481215100,202404,2024,0.0001174496644295,0.0001159473841984,87,ok
481215100,202405,2024,0.0001209992114884,0.0001169104487453,93,ok
481215100,202406,2024,0.0001307791895444,0.0001298759769829,76,ok
481215100,202407,2024,0.0001287768646686,0.0001223852112704,74,ok
481215100,202408,2024,0.00013611615245,0.0001290691978222,71,ok
481215100,202409,2024,0.0001356314410191,0.0001313771077486,65,ok
481215100,202410,2024,0.0001181112502506,0.0001242666688362,82,ok
481215100,202411,2024,0.0001372028186947,0.0001314267817802,77,ok
481215100,202412,2024,0.0001092253402789,0.0001182788635442,59,ok
481215200,202001,2020,5.594487957128549e-05,5.851889860242597e-05,41,ok
481215200,202002,2020,5.5859120617102964e-05,5.801638359097628e-05,43,ok
481215200,202003,2020,6.21143905285975e-05,6.390510968240702e-05,40,ok
481215200,202004,2020,7.291334808646538e-05,6.835746912613668e-05,106,ok
481215200,202005,2020,7.508040466813371e-05,7.384389763987074e-05,116,ok
481215200,202006,2020,7.954137035051226e-05,7.565309491925829e-05,106,ok
481215200,202007,2020,8.248734703016075e-05,7.752649373595075e-05,115,ok
481215200,202008,2020,6.738790059232136e-05,7.515542639725314e-05,58,ok
481215200,202009,2020,8.423353718685472e-05,8.428705375460972e-05,34,ok
481215200,202010,2020,7.54796923082117e-05,8.53460341203368e-05,32,ok
481215200,202011,2020,7.503751875937951e-05,8.305621845084087e-05,41,ok
481215200,202012,2020,8.337502084375499e-05,9.044624127579585e-05,43,ok
481215200,202101,2021,7.802838466521401e-05,8.129562360333054e-05,43,ok
481215200,202102,2021,6.96813369486744e-05,7.886648542128573e-05,36,ok
