lawd_cd,deal_ym,housing_type,aptNm,exclusive_m2,deposit,rent,deposit_per_m2,rent_per_m2,buildYear,contractDay,dong,roadAddr
48123,202507,APT,현대2차,,,30,,,1989,,반림동,
48123,202507,APT,용지더샵레이크파크,,,0,,,2017,,용호동,
48123,202507,APT,현대2차,,,0,,,1989,,반림동,
48123,202507,APT,노블파크,,,0,,,2007,,반림동,
48123,202507,APT,남산효성해링턴플레이스,,,80,,,2018,,남산동,
48123,202507,APT,까치1차,,,20,,,1990,,반지동,
48123,202507,APT,은아,,,0,,,1988,,신월동,
48123,202507,APT,까치1차,,,25,,,1990,,반지동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,무학,,,50,,,1987,,용호동,
48123,202507,APT,성산반도유보라아이비파크,,,0,,,2022,,사파정동,
48123,202507,APT,무궁화,,,57,,,1988,,사파동,
48123,202507,APT,성원남산3차,,,0,,,1992,,대방동,
48123,202507,APT,대동,,,0,,,1992,,대방동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,대동,,,0,,,1992,,대방동,
48123,202507,APT,꿈에그린,,,115,,,2014,,상남동,
48123,202507,APT,덕산타운1,,,0,,,1992,,대방동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,무학,,,35,,,1987,,용호동,
48123,202507,APT,트리비앙,,,100,,,2006,,반림동,
48123,202507,APT,대동,,,0,,,1994,,상남동,
48123,202507,APT,꿈에그린,,,0,,,2014,,상남동,
48123,202507,APT,무학,,,60,,,1987,,용호동,
48123,202507,APT,대동,,,50,,,1992,,대방동,
48123,202507,APT,성산삼정그린코아웰레스트,,,0,,,2024,,안민동,
48123,202507,APT,대원파크빌,,,40,,,1997,,대원동,
48123,202507,APT,용지아이파크,,,200,,,2017,,용호동,
48123,202507,APT,창원가음한화꿈에그린,,,0,,,2017,,가음동,
48123,202507,APT,개나리1차,,,0,,,1992,,대방동,
48123,202507,APT,대동그린파크,,,100,,,1990,,반지동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,창원더샵센트럴파크2단지,,,100,,,2017,,가음동,
48123,202507,APT,트리비앙,,,100,,,2006,,반림동,
48123,202507,APT,개나리1차,,,57,,,1992,,대방동,
48123,202507,APT,성원남산3차,,,0,,,1992,,대방동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,성원남산3차,,,43,,,1992,,대방동,
48123,202507,APT,대동,,,0,,,1992,,대방동,
48123,202507,APT,용지더샵레이크파크,,,0,,,2017,,용호동,
48123,202507,APT,포레나대원,,,0,,,2018,,대원동,
48123,202507,APT,삼익,,,45,,,1988,,사파동,
48123,202507,APT,삼선,,,50,,,1988,,가음동,
48123,202507,APT,성산삼정그린코아웰레스트,,,0,,,2024,,안민동,
48123,202507,APT,용지아이파크,,,0,,,2017,,용호동,
48123,202507,APT,은아,,,60,,,1988,,신월동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,창원더샵센트럴파크2단지,,,0,,,2017,,가음동,
48123,202507,APT,삼익,,,55,,,1988,,사파동,
48123,202507,APT,포레나대원,,,0,,,2018,,대원동,
48123,202507,APT,용지아이파크,,,45,,,2017,,용호동,
48123,202507,APT,용지아이파크,,,0,,,2017,,용호동,
48123,202507,APT,성원,,,80,,,1994,,상남동,
48123,202507,APT,창원가음한화꿈에그린,,,0,,,2017,,가음동,
48123,202507,APT,일동,,,45,,,1986,,용호동,
48123,202507,APT,롯데1단지,,,0,,,1984,,용호동,
48123,202507,APT,위드파크아파트,,,0,,,1998,,남양동,
48123,202507,APT,대동,,,0,,,1988,,사파동,
48123,202507,APT,성원남산3차,,,45,,,1992,,대방동,
48123,202507,APT,무학,,,0,,,1987,,용호동,
48123,202507,APT,대원2차대동,,,0,,,1999,,대원동,
48123,202507,APT,무학,,,50,,,1987,,용호동,
48123,202507,APT,성원2차,,,70,,,1992,,남양동,
48123,202507,APT,유니온빌리지,,,0,,,2005,,성주동,
48123,202507,APT,대동,,,0,,,1988,,사파동,
48123,202507,APT,성원남산3차,,,50,,,1992,,대방동,
48123,202507,APT,한양,,,36,,,1980,,남산동,
48123,202507,APT,무궁화,,,0,,,1988,,사파동,
48123,202507,APT,동서,,,0,,,1989,,사파동,
48123,202507,APT,동성1차,,,45,,,1986,,신촌동,
48123,202507,APT,용지더샵레이크파크,,,0,,,2017,,용호동,
48123,202507,APT,노블파크,,,120,,,2007,,반림동,
48123,202507,APT,무학,,,50,,,1987,,용호동,
48123,202507,APT,무학,,,40,,,1987,,용호동,
48123,202507,APT,피오르빌,,,0,,,1995,,남양동,
48123,202507,APT,일동,,,15,,,1986,,용호동,
48123,202507,APT,럭키,,,55,,,1989,,반림동,
48123,202507,APT,성원,,,70,,,1994,,상남동,
48123,202507,APT,노블파크,,,0,,,2007,,반림동,
48123,202507,APT,성원,,,80,,,1994,,상남동,
48123,202507,APT,개나리1차,,,20,,,1992,,대방동,
48123,202507,APT,한화기계사원,,,25,,,1991,,내동,
48123,202507,APT,용지더샵레이크파크,,,250,,,2017,,용호동,
48123,202507,APT,에일린의뜰1단지,,,0,,,2024,,대원동,
48123,202507,APT,성원남산3차,,,0,,,1992,,대방동,
48123,202507,APT,프리빌리지,,,0,,,2003,,성주동,
48123,202507,APT,대원파크빌,,,43,,,1997,,대원동,
48123,202507,APT,피오르빌,,,0,,,1995,,남양동,
48123,202507,APT,창원센텀푸르지오,,,0,,,2018,,가음동,
48123,202507,APT,창원가음한화꿈에그린,,,0,,,2017,,가음동,
48123,202507,APT,성원,,,0,,,1987,,신촌동,
48123,202507,APT,성원,,,70,,,1994,,상남동,
48123,202507,APT,성원남산3차,,,40,,,1992,,대방동,
48123,202507,APT,현대1차,,,0,,,1989,,반림동,
48123,202507,APT,대동,,,0,,,1994,,상남동,
48123,202507,APT,현대2차,,,40,,,1989,,반림동,
48123,202507,APT,개나리1차,,,40,,,1992,,대방동,
48123,202507,APT,무궁화,,,50,,,1988,,사파동,
48123,202507,APT,대동,,,0,,,1994,,상남동,
48123,202507,APT,성원,,,80,,,1994,,상남동,
48123,202507,APT,성원남산3차,,,25,,,1992,,대방동,
48123,202507,APT,노블파크,,,0,,,2007,,반림동,
48123,202507,APT,성원,,,50,,,1994,,상남동,
48123,202507,APT,대동,,,60,,,1994,,상남동,
48123,202507,APT,성원남산3차,,,45,,,1992,,대방동,
48123,202507,APT,무궁화,,,10,,,1988,,사파동,
48123,202507,APT,대방동성,,,0,,,1996,,대방동,
48123,202507,APT,대동,,,0,,,1994,,상남동,
48123,202507,APT,우성,,,0,,,1989,,남양동,
48123,202507,APT,성원,,,50,,,1994,,상남동,
48123,202507,APT,은아,,,0,,,1988,,신월동,
48123,202507,APT,성산삼정그린코아웰레스트,,,0,,,2024,,안민동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,동서,,,38,,,1989,,사파동,
48123,202507,APT,일동,,,25,,,1986,,용호동,
48123,202507,APT,성원1차,,,0,,,1991,,남양동,
48123,202507,APT,성원남산3차,,,0,,,1992,,대방동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,대방동성,,,0,,,1996,,대방동,
48123,202507,APT,대방동성,,,0,,,1996,,대방동,
48123,202507,APT,대동,,,0,,,1994,,상남동,
48123,202507,APT,용지더샵레이크파크,,,0,,,2017,,용호동,
48123,202507,APT,포레나대원,,,100,,,2018,,대원동,
48123,202507,APT,위드파크아파트,,,0,,,1998,,남양동,
48123,202507,APT,성원2차,,,0,,,1992,,남양동,
48123,202507,APT,성원,,,0,,,1994,,상남동,
48123,202507,APT,은아,,,0,,,1988,,신월동,
