lawd_cd,deal_ym,housing_type,exclusive_m2,deposit,rent,buildYear,contractDay,dong,roadAddr,rent_per_m2,deposit_per_m2
48123,202507,APT,,,40.0,1987.0,,용호동,,,
48123,202507,APT,,,0.0,1995.0,,남양동,,,
48123,202507,APT,,,15.0,1986.0,,용호동,,,
48123,202507,APT,,,55.0,1989.0,,반림동,,,
48123,202507,APT,,,70.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,2007.0,,반림동,,,
48123,202507,APT,,,80.0,1994.0,,상남동,,,
48123,202507,APT,,,20.0,1992.0,,대방동,,,
48123,202507,APT,,,25.0,1991.0,,내동,,,
48123,202507,APT,,,250.0,2017.0,,용호동,,,
48123,202507,APT,,,0.0,2024.0,,대원동,,,
48123,202507,APT,,,0.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,2003.0,,성주동,,,
48123,202507,APT,,,43.0,1997.0,,대원동,,,
48123,202507,APT,,,0.0,1995.0,,남양동,,,
48123,202507,APT,,,0.0,2018.0,,가음동,,,
48123,202507,APT,,,0.0,2017.0,,가음동,,,
48123,202507,APT,,,0.0,1987.0,,신촌동,,,
48123,202507,APT,,,70.0,1994.0,,상남동,,,
48123,202507,APT,,,40.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,1989.0,,반림동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,40.0,1989.0,,반림동,,,
48123,202507,APT,,,40.0,1992.0,,대방동,,,
48123,202507,APT,,,50.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,80.0,1994.0,,상남동,,,
48123,202507,APT,,,25.0,1992.0,,대방동,,,
48123,202507,APT,,,0.0,2007.0,,반림동,,,
48123,202507,APT,,,50.0,1994.0,,상남동,,,
48123,202507,APT,,,60.0,1994.0,,상남동,,,
48123,202507,APT,,,45.0,1992.0,,대방동,,,
48123,202507,APT,,,10.0,1988.0,,사파동,,,
48123,202507,APT,,,0.0,1996.0,,대방동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,1989.0,,남양동,,,
48123,202507,APT,,,50.0,1994.0,,상남동,,,
48123,202507,APT,,,0.0,1988.0,,신월동,,,
48123,202507,APT,,,0.0,2024.0,,안민동,,,
48123,202507,APT,,,0.0,1994.0,,상남동,,,
48123,202507,APT,,,38.0,1989.0,,사파동,,,
48123,202507,APT,,,25.0,1986.0,,용호동,,,
48123,202507,APT,,,0.0,1991.0,,남양동,,,
